#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.274200E+00   0.695734E+06   0.692448E+06  -0.221108E+00  -0.225476E+00   0.129557E+05   0.692143E+06   0.695218E+06   0.692143E+06  -0.165346E-01   0.365983E+06   0.365945E+06   0.451932E-01
   0.279589E+00   0.674221E+06   0.670916E+06  -0.206088E+00  -0.210160E+00   0.121533E+05   0.670720E+06   0.673702E+06   0.670720E+06  -0.160228E-01   0.354656E+06   0.354618E+06   0.443053E-01
   0.284978E+00   0.653540E+06   0.650223E+06  -0.192281E+00  -0.196080E+00   0.114095E+05   0.650127E+06   0.653019E+06   0.650127E+06  -0.155308E-01   0.343767E+06   0.343730E+06   0.433154E-01
   0.290366E+00   0.634219E+06   0.630922E+06  -0.179734E+00  -0.183285E+00   0.107290E+05   0.630893E+06   0.633701E+06   0.630893E+06  -0.150714E-01   0.333598E+06   0.333561E+06   0.420072E-01
   0.295755E+00   0.616611E+06   0.613374E+06  -0.168435E+00  -0.171762E+00   0.101129E+05   0.613371E+06   0.616102E+06   0.613371E+06  -0.146528E-01   0.324333E+06   0.324297E+06   0.403138E-01
   0.301144E+00   0.600745E+06   0.597611E+06  -0.158283E+00  -0.161410E+00   0.955683E+04   0.597591E+06   0.600253E+06   0.597591E+06  -0.142758E-01   0.315989E+06   0.315954E+06   0.383006E-01
   0.306533E+00   0.586342E+06   0.583337E+06  -0.149107E+00  -0.152053E+00   0.905181E+04   0.583270E+06   0.585870E+06   0.583270E+06  -0.139337E-01   0.308417E+06   0.308384E+06   0.361218E-01
   0.311921E+00   0.572963E+06   0.570098E+06  -0.140717E+00  -0.143497E+00   0.858755E+04   0.569971E+06   0.572512E+06   0.569971E+06  -0.136160E-01   0.301385E+06   0.301353E+06   0.339643E-01
   0.317310E+00   0.560176E+06   0.557443E+06  -0.132947E+00  -0.135573E+00   0.815482E+04   0.557260E+06   0.559747E+06   0.557260E+06  -0.133124E-01   0.294664E+06   0.294634E+06   0.319963E-01
   0.322699E+00   0.547627E+06   0.545004E+06  -0.125667E+00  -0.128149E+00   0.774641E+04   0.544783E+06   0.547215E+06   0.544783E+06  -0.130143E-01   0.288067E+06   0.288038E+06   0.303281E-01
   0.328087E+00   0.535067E+06   0.532526E+06  -0.118786E+00  -0.121133E+00   0.735742E+04   0.532291E+06   0.534668E+06   0.532291E+06  -0.127159E-01   0.281462E+06   0.281433E+06   0.289946E-01
   0.333476E+00   0.522396E+06   0.519908E+06  -0.112256E+00  -0.114473E+00   0.698530E+04   0.519683E+06   0.522005E+06   0.519683E+06  -0.124147E-01   0.274795E+06   0.274767E+06   0.279601E-01
   0.338865E+00   0.509682E+06   0.507226E+06  -0.106068E+00  -0.108164E+00   0.663008E+04   0.507030E+06   0.509296E+06   0.507030E+06  -0.121124E-01   0.268105E+06   0.268078E+06   0.271401E-01
   0.344254E+00   0.497131E+06   0.494694E+06  -0.100242E+00  -0.102223E+00   0.629338E+04   0.494537E+06   0.496748E+06   0.494537E+06  -0.118140E-01   0.261499E+06   0.261472E+06   0.264300E-01
   0.349642E+00   0.484982E+06   0.482565E+06  -0.948011E-01  -0.966738E-01   0.597711E+04   0.482445E+06   0.484602E+06   0.482445E+06  -0.115251E-01   0.255105E+06   0.255078E+06   0.257326E-01
   0.355031E+00   0.473421E+06   0.471031E+06  -0.897531E-01  -0.915261E-01   0.568227E+04   0.470939E+06   0.473045E+06   0.470939E+06  -0.112502E-01   0.249022E+06   0.248995E+06   0.249787E-01
   0.360420E+00   0.462541E+06   0.460191E+06  -0.850881E-01  -0.867689E-01   0.540858E+04   0.460113E+06   0.462172E+06   0.460113E+06  -0.109916E-01   0.243297E+06   0.243271E+06   0.241372E-01
   0.365809E+00   0.452356E+06   0.450060E+06  -0.807813E-01  -0.823771E-01   0.515491E+04   0.449981E+06   0.451995E+06   0.449981E+06  -0.107496E-01   0.237940E+06   0.237914E+06   0.232150E-01
   0.371197E+00   0.442814E+06   0.440582E+06  -0.767989E-01  -0.783159E-01   0.491943E+04   0.440491E+06   0.442463E+06   0.440491E+06  -0.105229E-01   0.232922E+06   0.232897E+06   0.222480E-01
   0.376586E+00   0.433803E+06   0.431640E+06  -0.730992E-01  -0.745432E-01   0.469977E+04   0.431530E+06   0.433463E+06   0.431530E+06  -0.103088E-01   0.228184E+06   0.228160E+06   0.212855E-01
   0.381975E+00   0.425167E+06   0.423071E+06  -0.696376E-01  -0.710132E-01   0.449335E+04   0.422943E+06   0.424837E+06   0.422943E+06  -0.101037E-01   0.223643E+06   0.223620E+06   0.203755E-01
   0.387363E+00   0.416750E+06   0.414715E+06  -0.663739E-01  -0.676850E-01   0.429778E+04   0.414573E+06   0.416431E+06   0.414573E+06  -0.990371E-02   0.219217E+06   0.219195E+06   0.195528E-01
   0.392752E+00   0.408447E+06   0.406462E+06  -0.632792E-01  -0.645292E-01   0.411139E+04   0.406314E+06   0.408135E+06   0.406314E+06  -0.970642E-02   0.214850E+06   0.214828E+06   0.188331E-01
   0.398141E+00   0.400216E+06   0.398272E+06  -0.603373E-01  -0.615292E-01   0.393329E+04   0.398126E+06   0.399911E+06   0.398126E+06  -0.951082E-02   0.210521E+06   0.210499E+06   0.182125E-01
   0.403530E+00   0.392076E+06   0.390164E+06  -0.575420E-01  -0.586786E-01   0.376322E+04   0.390026E+06   0.391775E+06   0.390026E+06  -0.931732E-02   0.206238E+06   0.206217E+06   0.176715E-01
   0.408918E+00   0.384073E+06   0.382188E+06  -0.548917E-01  -0.559760E-01   0.360123E+04   0.382063E+06   0.383777E+06   0.382063E+06  -0.912710E-02   0.202028E+06   0.202006E+06   0.171821E-01
   0.414307E+00   0.376269E+06   0.374408E+06  -0.523865E-01  -0.534213E-01   0.344745E+04   0.374298E+06   0.375977E+06   0.374298E+06  -0.894158E-02   0.197921E+06   0.197901E+06   0.167155E-01
   0.419696E+00   0.368723E+06   0.366887E+06  -0.500260E-01  -0.510142E-01   0.330200E+04   0.366789E+06   0.368434E+06   0.366789E+06  -0.876219E-02   0.193951E+06   0.193930E+06   0.162491E-01
   0.425085E+00   0.361482E+06   0.359676E+06  -0.478082E-01  -0.487525E-01   0.316484E+04   0.359584E+06   0.361198E+06   0.359584E+06  -0.859009E-02   0.190141E+06   0.190121E+06   0.157700E-01
   0.430473E+00   0.354571E+06   0.352798E+06  -0.457276E-01  -0.466309E-01   0.303577E+04   0.352709E+06   0.354293E+06   0.352709E+06  -0.842586E-02   0.186506E+06   0.186486E+06   0.152762E-01
   0.435862E+00   0.347976E+06   0.346240E+06  -0.437745E-01  -0.446392E-01   0.291421E+04   0.346149E+06   0.347703E+06   0.346149E+06  -0.826914E-02   0.183037E+06   0.183018E+06   0.147745E-01
   0.441251E+00   0.341650E+06   0.339953E+06  -0.419357E-01  -0.427640E-01   0.279940E+04   0.339858E+06   0.341384E+06   0.339858E+06  -0.811884E-02   0.179711E+06   0.179692E+06   0.142767E-01
   0.446640E+00   0.335540E+06   0.333881E+06  -0.401982E-01  -0.409922E-01   0.269055E+04   0.333780E+06   0.335280E+06   0.333780E+06  -0.797366E-02   0.176497E+06   0.176479E+06   0.137962E-01
   0.452028E+00   0.329602E+06   0.327979E+06  -0.385511E-01  -0.393126E-01   0.258700E+04   0.327874E+06   0.329347E+06   0.327874E+06  -0.783257E-02   0.173374E+06   0.173356E+06   0.133440E-01
   0.457417E+00   0.323801E+06   0.322212E+06  -0.369858E-01  -0.377163E-01   0.248825E+04   0.322104E+06   0.323551E+06   0.322104E+06  -0.769473E-02   0.170323E+06   0.170305E+06   0.129267E-01
   0.462806E+00   0.318108E+06   0.316548E+06  -0.354944E-01  -0.361955E-01   0.239384E+04   0.316441E+06   0.317863E+06   0.316441E+06  -0.755944E-02   0.167328E+06   0.167311E+06   0.125449E-01
   0.468195E+00   0.312506E+06   0.310972E+06  -0.340714E-01  -0.347444E-01   0.230343E+04   0.310868E+06   0.312265E+06   0.310868E+06  -0.742631E-02   0.164382E+06   0.164364E+06   0.121944E-01
   0.473583E+00   0.307004E+06   0.305494E+06  -0.327142E-01  -0.333604E-01   0.221691E+04   0.305394E+06   0.306767E+06   0.305394E+06  -0.729555E-02   0.161487E+06   0.161470E+06   0.118681E-01
   0.478972E+00   0.301628E+06   0.300140E+06  -0.314222E-01  -0.320429E-01   0.213428E+04   0.300045E+06   0.301394E+06   0.300045E+06  -0.716777E-02   0.158659E+06   0.158642E+06   0.115578E-01
   0.484361E+00   0.296401E+06   0.294934E+06  -0.301945E-01  -0.307909E-01   0.205553E+04   0.294845E+06   0.296170E+06   0.294845E+06  -0.704353E-02   0.155909E+06   0.155893E+06   0.112563E-01
   0.489749E+00   0.291333E+06   0.289888E+06  -0.290287E-01  -0.296021E-01   0.198054E+04   0.289802E+06   0.291106E+06   0.289802E+06  -0.692308E-02   0.153243E+06   0.153227E+06   0.109584E-01
   0.495138E+00   0.286426E+06   0.285004E+06  -0.279220E-01  -0.284735E-01   0.190916E+04   0.284921E+06   0.286202E+06   0.284921E+06  -0.680646E-02   0.150662E+06   0.150646E+06   0.106618E-01
   0.500527E+00   0.281679E+06   0.280282E+06  -0.268713E-01  -0.274020E-01   0.184121E+04   0.280199E+06   0.281460E+06   0.280199E+06  -0.669367E-02   0.148165E+06   0.148149E+06   0.103672E-01
   0.505916E+00   0.277088E+06   0.275715E+06  -0.258733E-01  -0.263843E-01   0.177650E+04   0.275632E+06   0.276872E+06   0.275632E+06  -0.658456E-02   0.145750E+06   0.145735E+06   0.100771E-01
   0.511304E+00   0.272637E+06   0.271288E+06  -0.249239E-01  -0.254162E-01   0.171480E+04   0.271205E+06   0.272425E+06   0.271205E+06  -0.647879E-02   0.143409E+06   0.143394E+06   0.979499E-02
   0.516693E+00   0.268304E+06   0.266980E+06  -0.240190E-01  -0.244934E-01   0.165582E+04   0.266895E+06   0.268096E+06   0.266895E+06  -0.637585E-02   0.141130E+06   0.141115E+06   0.952400E-02
   0.522082E+00   0.264071E+06   0.262769E+06  -0.231546E-01  -0.236120E-01   0.159934E+04   0.262684E+06   0.263866E+06   0.262684E+06  -0.627525E-02   0.138903E+06   0.138889E+06   0.926630E-02
   0.527471E+00   0.259925E+06   0.258645E+06  -0.223279E-01  -0.227689E-01   0.154517E+04   0.258560E+06   0.259724E+06   0.258560E+06  -0.617673E-02   0.136723E+06   0.136708E+06   0.902269E-02
   0.532859E+00   0.255864E+06   0.254604E+06  -0.215368E-01  -0.219621E-01   0.149320E+04   0.254520E+06   0.255666E+06   0.254520E+06  -0.608022E-02   0.134586E+06   0.134572E+06   0.879261E-02
   0.538248E+00   0.251887E+06   0.250646E+06  -0.207797E-01  -0.211901E-01   0.144335E+04   0.250564E+06   0.251692E+06   0.250564E+06  -0.598572E-02   0.132495E+06   0.132481E+06   0.857435E-02
   0.543637E+00   0.247995E+06   0.246772E+06  -0.200550E-01  -0.204512E-01   0.139551E+04   0.246692E+06   0.247803E+06   0.246692E+06  -0.589322E-02   0.130447E+06   0.130434E+06   0.836554E-02
   0.549025E+00   0.244190E+06   0.242983E+06  -0.193616E-01  -0.197440E-01   0.134962E+04   0.242906E+06   0.244000E+06   0.242906E+06  -0.580278E-02   0.128445E+06   0.128432E+06   0.816380E-02
   0.554414E+00   0.240476E+06   0.239287E+06  -0.186983E-01  -0.190676E-01   0.130563E+04   0.239212E+06   0.240289E+06   0.239212E+06  -0.571453E-02   0.126492E+06   0.126479E+06   0.796729E-02
   0.559803E+00   0.236861E+06   0.235689E+06  -0.180644E-01  -0.184212E-01   0.126349E+04   0.235616E+06   0.236677E+06   0.235616E+06  -0.562861E-02   0.124590E+06   0.124577E+06   0.777492E-02
   0.565192E+00   0.233343E+06   0.232189E+06  -0.174584E-01  -0.178032E-01   0.122313E+04   0.232116E+06   0.233162E+06   0.232116E+06  -0.554501E-02   0.122740E+06   0.122727E+06   0.758632E-02
   0.570580E+00   0.229917E+06   0.228780E+06  -0.168787E-01  -0.172120E-01   0.118443E+04   0.228708E+06   0.229738E+06   0.228708E+06  -0.546359E-02   0.120937E+06   0.120925E+06   0.740174E-02
   0.575969E+00   0.226574E+06   0.225454E+06  -0.163236E-01  -0.166460E-01   0.114730E+04   0.225383E+06   0.226398E+06   0.225383E+06  -0.538417E-02   0.119179E+06   0.119167E+06   0.722185E-02
   0.581358E+00   0.223311E+06   0.222208E+06  -0.157916E-01  -0.161036E-01   0.111165E+04   0.222137E+06   0.223138E+06   0.222137E+06  -0.530663E-02   0.117463E+06   0.117451E+06   0.704748E-02
   0.586747E+00   0.220124E+06   0.219038E+06  -0.152817E-01  -0.155835E-01   0.107740E+04   0.218967E+06   0.219954E+06   0.218967E+06  -0.523089E-02   0.115787E+06   0.115775E+06   0.687934E-02
   0.592135E+00   0.217007E+06   0.215936E+06  -0.147924E-01  -0.150845E-01   0.104447E+04   0.215866E+06   0.216839E+06   0.215866E+06  -0.515682E-02   0.114147E+06   0.114135E+06   0.671776E-02
   0.597524E+00   0.213953E+06   0.212897E+06  -0.143223E-01  -0.146052E-01   0.101277E+04   0.212828E+06   0.213787E+06   0.212828E+06  -0.508424E-02   0.112541E+06   0.112529E+06   0.656264E-02
   0.602913E+00   0.210958E+06   0.209917E+06  -0.138706E-01  -0.141445E-01   0.982243E+03   0.209849E+06   0.210794E+06   0.209849E+06  -0.501307E-02   0.110965E+06   0.110954E+06   0.641356E-02
   0.608302E+00   0.208024E+06   0.206997E+06  -0.134364E-01  -0.137018E-01   0.952848E+03   0.206930E+06   0.207862E+06   0.206930E+06  -0.494333E-02   0.109422E+06   0.109410E+06   0.626992E-02
   0.613690E+00   0.205152E+06   0.204139E+06  -0.130192E-01  -0.132764E-01   0.924553E+03   0.204073E+06   0.204993E+06   0.204073E+06  -0.487510E-02   0.107911E+06   0.107900E+06   0.613102E-02
   0.619079E+00   0.202344E+06   0.201344E+06  -0.126185E-01  -0.128677E-01   0.897320E+03   0.201279E+06   0.202187E+06   0.201279E+06  -0.480836E-02   0.106434E+06   0.106423E+06   0.599618E-02
   0.624468E+00   0.199596E+06   0.198610E+06  -0.122332E-01  -0.124748E-01   0.871092E+03   0.198546E+06   0.199441E+06   0.198546E+06  -0.474305E-02   0.104988E+06   0.104977E+06   0.586487E-02
   0.629856E+00   0.196907E+06   0.195934E+06  -0.118628E-01  -0.120971E-01   0.845835E+03   0.195871E+06   0.196754E+06   0.195871E+06  -0.467916E-02   0.103574E+06   0.103563E+06   0.573675E-02
   0.681274E+00   0.173944E+06   0.173086E+06  -0.895741E-02  -0.913432E-02   0.646057E+03   0.173029E+06   0.173809E+06   0.173029E+06  -0.413348E-02   0.914956E+05   0.914860E+05   0.468109E-02
   0.736889E+00   0.153525E+06   0.152767E+06  -0.675763E-02  -0.689109E-02   0.492552E+03   0.152716E+06   0.153406E+06   0.152716E+06  -0.364823E-02   0.807546E+05   0.807462E+05   0.381849E-02
   0.797043E+00   0.135398E+06   0.134730E+06  -0.509415E-02  -0.519476E-02   0.374888E+03   0.134685E+06   0.135293E+06   0.134685E+06  -0.321747E-02   0.712197E+05   0.712123E+05   0.311279E-02
   0.862109E+00   0.119322E+06   0.118734E+06  -0.383730E-02  -0.391309E-02   0.284876E+03   0.118694E+06   0.119230E+06   0.118694E+06  -0.283547E-02   0.627641E+05   0.627575E+05   0.253549E-02
   0.932485E+00   0.105080E+06   0.104561E+06  -0.288845E-02  -0.294550E-02   0.216146E+03   0.104526E+06   0.104998E+06   0.104526E+06  -0.249702E-02   0.552723E+05   0.552665E+05   0.206372E-02
   0.100861E+01   0.924742E+05   0.920180E+05  -0.217275E-02  -0.221566E-02   0.163764E+03   0.919868E+05   0.924025E+05   0.919868E+05  -0.219747E-02   0.486417E+05   0.486367E+05   0.167857E-02
   0.109094E+01   0.813262E+05   0.809251E+05  -0.163328E-02  -0.166554E-02   0.123907E+03   0.808975E+05   0.812632E+05   0.808975E+05  -0.193256E-02   0.427778E+05   0.427734E+05   0.136435E-02
   0.118000E+01   0.714756E+05   0.711231E+05  -0.122696E-02  -0.125119E-02   0.936292E+02   0.710988E+05   0.714203E+05   0.710988E+05  -0.169847E-02   0.375964E+05   0.375925E+05   0.110821E-02
   0.127633E+01   0.627804E+05   0.624709E+05  -0.921169E-03  -0.939361E-03   0.706655E+02   0.624494E+05   0.627318E+05   0.624494E+05  -0.149185E-02   0.330227E+05   0.330193E+05   0.899589E-03
   0.138052E+01   0.551094E+05   0.548377E+05  -0.691165E-03  -0.704815E-03   0.532721E+02   0.548188E+05   0.550667E+05   0.548188E+05  -0.130956E-02   0.289877E+05   0.289847E+05   0.729770E-03
   0.149322E+01   0.483480E+05   0.481096E+05  -0.518293E-03  -0.528529E-03   0.401165E+02   0.480930E+05   0.483105E+05   0.480930E+05  -0.114889E-02   0.254312E+05   0.254285E+05   0.591644E-03
   0.161511E+01   0.423925E+05   0.421835E+05  -0.388443E-03  -0.396114E-03   0.301791E+02   0.421689E+05   0.423597E+05   0.421689E+05  -0.100737E-02   0.222986E+05   0.222962E+05   0.479368E-03
   0.174696E+01   0.371509E+05   0.369678E+05  -0.290970E-03  -0.296716E-03   0.226817E+02   0.369549E+05   0.371221E+05   0.369549E+05  -0.882814E-03   0.195415E+05   0.195394E+05   0.388168E-03
   0.188957E+01   0.325402E+05   0.323798E+05  -0.217841E-03  -0.222143E-03   0.170315E+02   0.323685E+05   0.325150E+05   0.323685E+05  -0.773250E-03   0.171162E+05   0.171144E+05   0.314129E-03
   0.201662E+01   0.291430E+05   0.289994E+05  -0.171290E-03  -0.174672E-03   0.134213E+02   0.289893E+05   0.291205E+05   0.289893E+05  -0.692523E-03   0.153293E+05   0.153277E+05   0.263447E-03
   0.252652E+01   0.198408E+05   0.197430E+05  -0.742954E-04  -0.757627E-04   0.585653E+01   0.197361E+05   0.198254E+05   0.197361E+05  -0.471474E-03   0.104363E+05   0.104352E+05   0.142769E-03
   0.316533E+01   0.134587E+05   0.133924E+05  -0.321080E-04  -0.327421E-04   0.254143E+01   0.133877E+05   0.134483E+05   0.133877E+05  -0.319818E-03   0.707931E+04   0.707857E+04   0.769798E-04
   0.396567E+01   0.909930E+04   0.905448E+04  -0.138301E-04  -0.141032E-04   0.109772E+01   0.905128E+04   0.909226E+04   0.905128E+04  -0.216226E-03   0.478625E+04   0.478576E+04   0.412757E-04
   0.496836E+01   0.613339E+04   0.610319E+04  -0.593912E-05  -0.605641E-05   0.472264E+00   0.610102E+04   0.612864E+04   0.610102E+04  -0.145747E-03   0.322618E+04   0.322585E+04   0.219848E-04
   0.622459E+01   0.412282E+04   0.410253E+04  -0.254344E-05  -0.259367E-05   0.202490E+00   0.410106E+04   0.411963E+04   0.410106E+04  -0.979701E-04   0.216861E+04   0.216840E+04   0.116096E-04
   0.779844E+01   0.276432E+04   0.275072E+04  -0.108647E-05  -0.110793E-05   0.865649E-01   0.274973E+04   0.276218E+04   0.274973E+04  -0.656882E-04   0.145404E+04   0.145390E+04   0.605753E-05
