#    L    TT             EE             BB             TE          
   185   0.535123E+04   0.776370E+00   0.118142E-01  -0.315849E+02
   186   0.537159E+04   0.767133E+00   0.119569E-01  -0.306843E+02
   187   0.539145E+04   0.758230E+00   0.121005E-01  -0.297575E+02
   188   0.541080E+04   0.749701E+00   0.122451E-01  -0.288046E+02
   189   0.542964E+04   0.741575E+00   0.123906E-01  -0.278259E+02
   190   0.544795E+04   0.733888E+00   0.125370E-01  -0.268217E+02
   191   0.546573E+04   0.726672E+00   0.126843E-01  -0.257922E+02
   192   0.548297E+04   0.719960E+00   0.128324E-01  -0.247376E+02
   193   0.549965E+04   0.713787E+00   0.129814E-01  -0.236581E+02
   194   0.551580E+04   0.708188E+00   0.131313E-01  -0.225542E+02
   195   0.553139E+04   0.703198E+00   0.132820E-01  -0.214261E+02
   196   0.554643E+04   0.698853E+00   0.134336E-01  -0.202743E+02
   197   0.556091E+04   0.695190E+00   0.135860E-01  -0.190991E+02
   198   0.557483E+04   0.692244E+00   0.137392E-01  -0.179009E+02
   199   0.558818E+04   0.690051E+00   0.138932E-01  -0.166799E+02
   200   0.560096E+04   0.688646E+00   0.140480E-01  -0.154366E+02
   201   0.561317E+04   0.688068E+00   0.142036E-01  -0.141714E+02
   202   0.562479E+04   0.688350E+00   0.143600E-01  -0.128848E+02
   203   0.563581E+04   0.689531E+00   0.145171E-01  -0.115771E+02
   204   0.564623E+04   0.691646E+00   0.146750E-01  -0.102487E+02
   205   0.565602E+04   0.694733E+00   0.148336E-01  -0.890008E+01
   206   0.566520E+04   0.698826E+00   0.149929E-01  -0.753166E+01
   207   0.567373E+04   0.703963E+00   0.151530E-01  -0.614380E+01
   208   0.568162E+04   0.710181E+00   0.153137E-01  -0.473710E+01
   209   0.568890E+04   0.717515E+00   0.154751E-01  -0.331209E+01
   210   0.569555E+04   0.726001E+00   0.156372E-01  -0.186935E+01
   211   0.570158E+04   0.735679E+00   0.158000E-01  -0.409407E+00
   212   0.570700E+04   0.746580E+00   0.159634E-01   0.106716E+01
   213   0.571182E+04   0.758744E+00   0.161275E-01   0.255981E+01
   214   0.571604E+04   0.772208E+00   0.162921E-01   0.406798E+01
   215   0.571966E+04   0.786999E+00   0.164574E-01   0.559107E+01
   216   0.572267E+04   0.803164E+00   0.166232E-01   0.712850E+01
   217   0.572506E+04   0.820732E+00   0.167896E-01   0.867965E+01
   218   0.572684E+04   0.839731E+00   0.169566E-01   0.102440E+02
   219   0.572800E+04   0.860207E+00   0.171241E-01   0.118209E+02
   220   0.572853E+04   0.882189E+00   0.172922E-01   0.134098E+02
   221   0.572844E+04   0.905705E+00   0.174607E-01   0.150100E+02
   222   0.572771E+04   0.930800E+00   0.176298E-01   0.166209E+02
   223   0.572636E+04   0.957496E+00   0.177993E-01   0.182419E+02
   224   0.572438E+04   0.985829E+00   0.179693E-01   0.198724E+02
   225   0.572179E+04   0.101582E+01   0.181397E-01   0.215115E+02
   226   0.571856E+04   0.104752E+01   0.183106E-01   0.231588E+02
   227   0.571471E+04   0.108095E+01   0.184818E-01   0.248135E+02
   228   0.571025E+04   0.111613E+01   0.186534E-01   0.264749E+02
   229   0.570517E+04   0.115310E+01   0.188254E-01   0.281424E+02
   230   0.569947E+04   0.119190E+01   0.189978E-01   0.298153E+02
   231   0.569315E+04   0.123253E+01   0.191705E-01   0.314929E+02
   232   0.568623E+04   0.127503E+01   0.193435E-01   0.331745E+02
   233   0.567870E+04   0.131943E+01   0.195167E-01   0.348593E+02
   234   0.567055E+04   0.136575E+01   0.196903E-01   0.365467E+02
   235   0.566180E+04   0.141403E+01   0.198641E-01   0.382359E+02
   236   0.565244E+04   0.146428E+01   0.200381E-01   0.399263E+02
   237   0.564249E+04   0.151653E+01   0.202123E-01   0.416171E+02
   238   0.563194E+04   0.157079E+01   0.203868E-01   0.433075E+02
   239   0.562080E+04   0.162708E+01   0.205613E-01   0.449969E+02
   240   0.560907E+04   0.168543E+01   0.207361E-01   0.466844E+02
   241   0.559675E+04   0.174587E+01   0.209109E-01   0.483695E+02
   242   0.558385E+04   0.180841E+01   0.210858E-01   0.500512E+02
   243   0.557037E+04   0.187306E+01   0.212609E-01   0.517289E+02
   244   0.555632E+04   0.193985E+01   0.214359E-01   0.534019E+02
   245   0.554171E+04   0.200879E+01   0.216111E-01   0.550694E+02
   246   0.552654E+04   0.207988E+01   0.217862E-01   0.567308E+02
   247   0.551082E+04   0.215316E+01   0.219613E-01   0.583854E+02
   248   0.549455E+04   0.222863E+01   0.221364E-01   0.600322E+02
   249   0.547774E+04   0.230630E+01   0.223114E-01   0.616708E+02
