#    L    TT             EE             TE             PP             TP          
    35   0.113800E+04   0.361655E-01   0.193272E+01   0.612147E+07   0.176744E+05
    36   0.115533E+04   0.398122E-01   0.191803E+01   0.612767E+07   0.172703E+05
    37   0.117293E+04   0.437274E-01   0.189217E+01   0.613134E+07   0.168821E+05
    38   0.119089E+04   0.478992E-01   0.185715E+01   0.613265E+07   0.165161E+05
    39   0.120912E+04   0.523172E-01   0.181276E+01   0.613172E+07   0.161689E+05
    40   0.122754E+04   0.569738E-01   0.175722E+01   0.612868E+07   0.158349E+05
    41   0.124606E+04   0.618659E-01   0.168931E+01   0.612362E+07   0.155092E+05
    42   0.126468E+04   0.670064E-01   0.161002E+01   0.611669E+07   0.151913E+05
    43   0.128342E+04   0.724121E-01   0.152050E+01   0.610800E+07   0.148812E+05
    44   0.130233E+04   0.780977E-01   0.142030E+01   0.609768E+07   0.145794E+05
    45   0.132147E+04   0.840752E-01   0.130864E+01   0.608586E+07   0.142861E+05
    46   0.134081E+04   0.903516E-01   0.118519E+01   0.607266E+07   0.140014E+05
    47   0.136032E+04   0.969273E-01   0.104939E+01   0.605816E+07   0.137251E+05
    48   0.138000E+04   0.103794E+00   0.900625E+00   0.604246E+07   0.134568E+05
    49   0.139981E+04   0.110943E+00   0.738365E+00   0.602564E+07   0.131961E+05
    50   0.141982E+04   0.118376E+00   0.562204E+00   0.600778E+07   0.129426E+05
    51   0.144009E+04   0.126096E+00   0.372052E+00   0.598897E+07   0.126961E+05
    52   0.146056E+04   0.134109E+00   0.168860E+00   0.596926E+07   0.124568E+05
    53   0.148116E+04   0.142415E+00  -0.463706E-01   0.594871E+07   0.122250E+05
    54   0.150188E+04   0.151018E+00  -0.273497E+00   0.592738E+07   0.120013E+05
    55   0.152271E+04   0.159920E+00  -0.512746E+00   0.590531E+07   0.117858E+05
    56   0.154375E+04   0.169120E+00  -0.764989E+00   0.588257E+07   0.115789E+05
    57   0.156511E+04   0.178614E+00  -0.103111E+01   0.585917E+07   0.113798E+05
    58   0.158676E+04   0.188400E+00  -0.131130E+01   0.583517E+07   0.111875E+05
    59   0.160859E+04   0.198478E+00  -0.160549E+01   0.581058E+07   0.110013E+05
    60   0.163060E+04   0.208840E+00  -0.191316E+01   0.578544E+07   0.108200E+05
    61   0.165278E+04   0.219480E+00  -0.223386E+01   0.575979E+07   0.106430E+05
    62   0.167515E+04   0.230393E+00  -0.256758E+01   0.573367E+07   0.104698E+05
    63   0.169772E+04   0.241577E+00  -0.291447E+01   0.570713E+07   0.102999E+05
    64   0.172049E+04   0.253031E+00  -0.327464E+01   0.568023E+07   0.101329E+05
    65   0.174350E+04   0.264753E+00  -0.364830E+01   0.565302E+07   0.996852E+04
    66   0.176677E+04   0.276736E+00  -0.403565E+01   0.562553E+07   0.980650E+04
    67   0.179030E+04   0.288974E+00  -0.443617E+01   0.559781E+07   0.964741E+04
    68   0.181404E+04   0.301456E+00  -0.484913E+01   0.556987E+07   0.949200E+04
    69   0.183795E+04   0.314176E+00  -0.527384E+01   0.554174E+07   0.934102E+04
    70   0.186200E+04   0.327127E+00  -0.570981E+01   0.551344E+07   0.919522E+04
    71   0.188617E+04   0.340305E+00  -0.615684E+01   0.548499E+07   0.905514E+04
    72   0.191056E+04   0.353704E+00  -0.661585E+01   0.545641E+07   0.892045E+04
    73   0.193530E+04   0.367322E+00  -0.708780E+01   0.542769E+07   0.879059E+04
    74   0.196038E+04   0.381145E+00  -0.757260E+01   0.539884E+07   0.866499E+04
    75   0.198583E+04   0.395163E+00  -0.806979E+01   0.536987E+07   0.854312E+04
    76   0.201159E+04   0.409360E+00  -0.857885E+01   0.534077E+07   0.842444E+04
    77   0.203753E+04   0.423727E+00  -0.909833E+01   0.531158E+07   0.830853E+04
    78   0.206364E+04   0.438251E+00  -0.962776E+01   0.528230E+07   0.819500E+04
    79   0.208996E+04   0.452921E+00  -0.101670E+02   0.525297E+07   0.808344E+04
    80   0.211652E+04   0.467726E+00  -0.107160E+02   0.522360E+07   0.797347E+04
    81   0.214334E+04   0.482654E+00  -0.112745E+02   0.519420E+07   0.786479E+04
    82   0.217042E+04   0.497694E+00  -0.118422E+02   0.516481E+07   0.775752E+04
    83   0.219775E+04   0.512837E+00  -0.124188E+02   0.513543E+07   0.765189E+04
    84   0.222532E+04   0.528070E+00  -0.130036E+02   0.510607E+07   0.754814E+04
    85   0.225314E+04   0.543383E+00  -0.135966E+02   0.507675E+07   0.744649E+04
    86   0.228118E+04   0.558767E+00  -0.141971E+02   0.504749E+07   0.734713E+04
    87   0.230944E+04   0.574206E+00  -0.148047E+02   0.501829E+07   0.725007E+04
    88   0.233787E+04   0.589690E+00  -0.154187E+02   0.498916E+07   0.715527E+04
    89   0.236651E+04   0.605205E+00  -0.160389E+02   0.496010E+07   0.706272E+04
    90   0.239533E+04   0.620733E+00  -0.166649E+02   0.493114E+07   0.697238E+04
    91   0.242437E+04   0.636261E+00  -0.172961E+02   0.490226E+07   0.688422E+04
    92   0.245361E+04   0.651775E+00  -0.179324E+02   0.487349E+07   0.679817E+04
    93   0.248307E+04   0.667260E+00  -0.185733E+02   0.484481E+07   0.671415E+04
    94   0.251275E+04   0.682703E+00  -0.192185E+02   0.481624E+07   0.663211E+04
    95   0.254266E+04   0.698089E+00  -0.198675E+02   0.478778E+07   0.655196E+04
    96   0.257280E+04   0.713404E+00  -0.205199E+02   0.475942E+07   0.647364E+04
    97   0.260315E+04   0.728634E+00  -0.211753E+02   0.473119E+07   0.639706E+04
    98   0.263374E+04   0.743762E+00  -0.218332E+02   0.470307E+07   0.632218E+04
    99   0.266454E+04   0.758776E+00  -0.224931E+02   0.467508E+07   0.624890E+04
   100   0.269556E+04   0.773663E+00  -0.231545E+02   0.464721E+07   0.617716E+04
   101   0.272680E+04   0.788409E+00  -0.238169E+02   0.461947E+07   0.610688E+04
   102   0.275825E+04   0.802991E+00  -0.244800E+02   0.459187E+07   0.603800E+04
   103   0.278991E+04   0.817411E+00  -0.251430E+02   0.456440E+07   0.597045E+04
   104   0.282178E+04   0.831638E+00  -0.258055E+02   0.453707E+07   0.590415E+04
   105   0.285384E+04   0.845665E+00  -0.264669E+02   0.450989E+07   0.583903E+04
   106   0.288609E+04   0.859478E+00  -0.271266E+02   0.448286E+07   0.577501E+04
   107   0.291852E+04   0.873069E+00  -0.277842E+02   0.445598E+07   0.571204E+04
   108   0.295112E+04   0.886416E+00  -0.284390E+02   0.442925E+07   0.565003E+04
   109   0.298389E+04   0.899513E+00  -0.290904E+02   0.440268E+07   0.558892E+04
   110   0.301683E+04   0.912336E+00  -0.297379E+02   0.437628E+07   0.552862E+04
   111   0.304992E+04   0.924879E+00  -0.303811E+02   0.435004E+07   0.546910E+04
   112   0.308316E+04   0.937135E+00  -0.310192E+02   0.432397E+07   0.541032E+04
   113   0.311655E+04   0.949079E+00  -0.316518E+02   0.429806E+07   0.535231E+04
   114   0.315008E+04   0.960699E+00  -0.322783E+02   0.427232E+07   0.529506E+04
   115   0.318373E+04   0.971993E+00  -0.328980E+02   0.424675E+07   0.523858E+04
   116   0.321751E+04   0.982946E+00  -0.335105E+02   0.422135E+07   0.518286E+04
   117   0.325142E+04   0.993536E+00  -0.341151E+02   0.419612E+07   0.512793E+04
   118   0.328542E+04   0.100376E+01  -0.347113E+02   0.417105E+07   0.507377E+04
   119   0.331953E+04   0.101361E+01  -0.352987E+02   0.414616E+07   0.502039E+04
   120   0.335374E+04   0.102307E+01  -0.358764E+02   0.412144E+07   0.496779E+04
   121   0.338804E+04   0.103213E+01  -0.364441E+02   0.409688E+07   0.491599E+04
   122   0.342240E+04   0.104079E+01  -0.370012E+02   0.407250E+07   0.486498E+04
   123   0.345684E+04   0.104902E+01  -0.375472E+02   0.404829E+07   0.481477E+04
   124   0.349134E+04   0.105683E+01  -0.380813E+02   0.402425E+07   0.476536E+04
   125   0.352589E+04   0.106420E+01  -0.386032E+02   0.400039E+07   0.471676E+04
   126   0.356049E+04   0.107113E+01  -0.391123E+02   0.397669E+07   0.466896E+04
   127   0.359512E+04   0.107760E+01  -0.396081E+02   0.395317E+07   0.462198E+04
   128   0.362977E+04   0.108362E+01  -0.400900E+02   0.392983E+07   0.457581E+04
   129   0.366445E+04   0.108918E+01  -0.405575E+02   0.390665E+07   0.453046E+04
   130   0.369913E+04   0.109425E+01  -0.410101E+02   0.388365E+07   0.448594E+04
   131   0.373380E+04   0.109885E+01  -0.414473E+02   0.386083E+07   0.444224E+04
   132   0.376848E+04   0.110298E+01  -0.418685E+02   0.383818E+07   0.439935E+04
   133   0.380313E+04   0.110661E+01  -0.422733E+02   0.381570E+07   0.435723E+04
   134   0.383777E+04   0.110976E+01  -0.426612E+02   0.379340E+07   0.431587E+04
   135   0.387236E+04   0.111241E+01  -0.430318E+02   0.377127E+07   0.427523E+04
   136   0.390693E+04   0.111458E+01  -0.433845E+02   0.374930E+07   0.423530E+04
   137   0.394144E+04   0.111624E+01  -0.437189E+02   0.372751E+07   0.419604E+04
   138   0.397590E+04   0.111741E+01  -0.440346E+02   0.370588E+07   0.415744E+04
   139   0.401030E+04   0.111809E+01  -0.443311E+02   0.368442E+07   0.411947E+04
   140   0.404463E+04   0.111827E+01  -0.446081E+02   0.366312E+07   0.408209E+04
   141   0.407888E+04   0.111796E+01  -0.448652E+02   0.364199E+07   0.404530E+04
   142   0.411304E+04   0.111715E+01  -0.451018E+02   0.362103E+07   0.400905E+04
   143   0.414711E+04   0.111586E+01  -0.453177E+02   0.360022E+07   0.397334E+04
   144   0.418107E+04   0.111408E+01  -0.455124E+02   0.357958E+07   0.393812E+04
   145   0.421492E+04   0.111181E+01  -0.456855E+02   0.355910E+07   0.390339E+04
   146   0.424863E+04   0.110907E+01  -0.458367E+02   0.353878E+07   0.386910E+04
   147   0.428220E+04   0.110586E+01  -0.459655E+02   0.351862E+07   0.383525E+04
   148   0.431561E+04   0.110218E+01  -0.460715E+02   0.349862E+07   0.380179E+04
   149   0.434885E+04   0.109804E+01  -0.461543E+02   0.347877E+07   0.376871E+04
   150   0.438190E+04   0.109345E+01  -0.462135E+02   0.345908E+07   0.373598E+04
   151   0.441474E+04   0.108842E+01  -0.462488E+02   0.343954E+07   0.370359E+04
   152   0.444738E+04   0.108294E+01  -0.462598E+02   0.342016E+07   0.367151E+04
   153   0.447981E+04   0.107705E+01  -0.462464E+02   0.340093E+07   0.363976E+04
   154   0.451201E+04   0.107075E+01  -0.462083E+02   0.338185E+07   0.360834E+04
   155   0.454399E+04   0.106404E+01  -0.461452E+02   0.336292E+07   0.357723E+04
   156   0.457576E+04   0.105694E+01  -0.460569E+02   0.334414E+07   0.354644E+04
   157   0.460728E+04   0.104946E+01  -0.459431E+02   0.332552E+07   0.351596E+04
   158   0.463856E+04   0.104163E+01  -0.458035E+02   0.330704E+07   0.348581E+04
   159   0.466960E+04   0.103343E+01  -0.456380E+02   0.328870E+07   0.345596E+04
   160   0.470038E+04   0.102491E+01  -0.454464E+02   0.327052E+07   0.342643E+04
   161   0.473088E+04   0.101606E+01  -0.452284E+02   0.325248E+07   0.339720E+04
   162   0.476109E+04   0.100691E+01  -0.449839E+02   0.323458E+07   0.336829E+04
   163   0.479100E+04   0.997491E+00  -0.447126E+02   0.321683E+07   0.333968E+04
   164   0.482060E+04   0.987793E+00  -0.444143E+02   0.319922E+07   0.331137E+04
   165   0.484988E+04   0.977843E+00  -0.440889E+02   0.318176E+07   0.328337E+04
   166   0.487882E+04   0.967663E+00  -0.437363E+02   0.316443E+07   0.325567E+04
   167   0.490742E+04   0.957274E+00  -0.433562E+02   0.314725E+07   0.322826E+04
   168   0.493567E+04   0.946701E+00  -0.429488E+02   0.313020E+07   0.320116E+04
   169   0.496356E+04   0.935963E+00  -0.425139E+02   0.311330E+07   0.317435E+04
   170   0.499108E+04   0.925078E+00  -0.420514E+02   0.309653E+07   0.314784E+04
   171   0.501822E+04   0.914073E+00  -0.415613E+02   0.307990E+07   0.312162E+04
   172   0.504499E+04   0.902971E+00  -0.410435E+02   0.306340E+07   0.309569E+04
   173   0.507136E+04   0.891795E+00  -0.404980E+02   0.304704E+07   0.307005E+04
   174   0.509733E+04   0.880567E+00  -0.399248E+02   0.303081E+07   0.304469E+04
   175   0.512289E+04   0.869324E+00  -0.393239E+02   0.301471E+07   0.301963E+04
   176   0.514803E+04   0.858080E+00  -0.386954E+02   0.299875E+07   0.299485E+04
   177   0.517274E+04   0.846872E+00  -0.380391E+02   0.298292E+07   0.297034E+04
   178   0.519701E+04   0.835724E+00  -0.373553E+02   0.296721E+07   0.294611E+04
   179   0.522083E+04   0.824657E+00  -0.366439E+02   0.295164E+07   0.292215E+04
   180   0.524421E+04   0.813709E+00  -0.359050E+02   0.293619E+07   0.289844E+04
   181   0.526712E+04   0.802909E+00  -0.351389E+02   0.292087E+07   0.287500E+04
   182   0.528957E+04   0.792287E+00  -0.343455E+02   0.290568E+07   0.285180E+04
   183   0.531154E+04   0.781865E+00  -0.335250E+02   0.289060E+07   0.282885E+04
   184   0.533304E+04   0.771681E+00  -0.326778E+02   0.287565E+07   0.280613E+04
   185   0.535404E+04   0.761771E+00  -0.318036E+02   0.286082E+07   0.278365E+04
   186   0.537455E+04   0.752158E+00  -0.309028E+02   0.284612E+07   0.276140E+04
   187   0.539456E+04   0.742873E+00  -0.299756E+02   0.283152E+07   0.273936E+04
   188   0.541406E+04   0.733955E+00  -0.290222E+02   0.281705E+07   0.271754E+04
   189   0.543304E+04   0.725436E+00  -0.280429E+02   0.280270E+07   0.269594E+04
   190   0.545150E+04   0.717350E+00  -0.270378E+02   0.278845E+07   0.267453E+04
   191   0.546943E+04   0.709729E+00  -0.260073E+02   0.277433E+07   0.265333E+04
   192   0.548682E+04   0.702607E+00  -0.249514E+02   0.276031E+07   0.263232E+04
   193   0.550366E+04   0.696019E+00  -0.238706E+02   0.274641E+07   0.261149E+04
   194   0.551996E+04   0.690000E+00  -0.227651E+02   0.273262E+07   0.259085E+04
   195   0.553570E+04   0.684585E+00  -0.216353E+02   0.271893E+07   0.257038E+04
   196   0.555089E+04   0.679811E+00  -0.204815E+02   0.270536E+07   0.255008E+04
   197   0.556552E+04   0.675714E+00  -0.193042E+02   0.269189E+07   0.252994E+04
   198   0.557960E+04   0.672331E+00  -0.181036E+02   0.267852E+07   0.250997E+04
   199   0.559310E+04   0.669696E+00  -0.168800E+02   0.266526E+07   0.249014E+04
   200   0.560604E+04   0.667846E+00  -0.156341E+02   0.265211E+07   0.247047E+04
   201   0.561840E+04   0.666818E+00  -0.143659E+02   0.263905E+07   0.245093E+04
   202   0.563017E+04   0.666648E+00  -0.130762E+02   0.262610E+07   0.243154E+04
   203   0.564134E+04   0.667374E+00  -0.117651E+02   0.261325E+07   0.241228E+04
   204   0.565191E+04   0.669031E+00  -0.104331E+02   0.260049E+07   0.239316E+04
   205   0.566186E+04   0.671657E+00  -0.908072E+01   0.258784E+07   0.237419E+04
   206   0.567118E+04   0.675287E+00  -0.770830E+01   0.257528E+07   0.235534E+04
   207   0.567986E+04   0.679960E+00  -0.631621E+01   0.256282E+07   0.233664E+04
   208   0.568790E+04   0.685711E+00  -0.490506E+01   0.255045E+07   0.231807E+04
   209   0.569533E+04   0.692576E+00  -0.347538E+01   0.253818E+07   0.229963E+04
   210   0.570212E+04   0.700594E+00  -0.202774E+01   0.252601E+07   0.228133E+04
   211   0.570830E+04   0.709801E+00  -0.562675E+00   0.251393E+07   0.226316E+04
   212   0.571387E+04   0.720232E+00   0.919250E+00   0.250194E+07   0.224512E+04
   213   0.571883E+04   0.731926E+00   0.241748E+01   0.249004E+07   0.222722E+04
   214   0.572319E+04   0.744918E+00   0.393146E+01   0.247824E+07   0.220944E+04
   215   0.572695E+04   0.759240E+00   0.546061E+01   0.246652E+07   0.219179E+04
   216   0.573010E+04   0.774936E+00   0.700432E+01   0.245490E+07   0.217427E+04
   217   0.573263E+04   0.792036E+00   0.856199E+01   0.244336E+07   0.215688E+04
   218   0.573454E+04   0.810570E+00   0.101331E+02   0.243191E+07   0.213962E+04
   219   0.573584E+04   0.830581E+00   0.117170E+02   0.242055E+07   0.212248E+04
   220   0.573650E+04   0.852101E+00   0.133131E+02   0.240927E+07   0.210547E+04
   221   0.573654E+04   0.875159E+00   0.149207E+02   0.239808E+07   0.208858E+04
   222   0.573595E+04   0.899799E+00   0.165394E+02   0.238698E+07   0.207182E+04
   223   0.573472E+04   0.926043E+00   0.181684E+02   0.237596E+07   0.205517E+04
   224   0.573287E+04   0.953929E+00   0.198070E+02   0.236502E+07   0.203865E+04
   225   0.573040E+04   0.983479E+00   0.214546E+02   0.235416E+07   0.202226E+04
   226   0.572730E+04   0.101474E+01   0.231105E+02   0.234339E+07   0.200598E+04
   227   0.572357E+04   0.104773E+01   0.247741E+02   0.233270E+07   0.198982E+04
   228   0.571922E+04   0.108249E+01   0.264447E+02   0.232208E+07   0.197378E+04
   229   0.571426E+04   0.111905E+01   0.281215E+02   0.231155E+07   0.195785E+04
   230   0.570867E+04   0.115743E+01   0.298040E+02   0.230109E+07   0.194205E+04
   231   0.570247E+04   0.119765E+01   0.314914E+02   0.229071E+07   0.192636E+04
   232   0.569565E+04   0.123976E+01   0.331830E+02   0.228041E+07   0.191078E+04
   233   0.568823E+04   0.128377E+01   0.348782E+02   0.227018E+07   0.189532E+04
   234   0.568018E+04   0.132971E+01   0.365760E+02   0.226003E+07   0.187998E+04
   235   0.567154E+04   0.137762E+01   0.382760E+02   0.224996E+07   0.186474E+04
   236   0.566227E+04   0.142751E+01   0.399773E+02   0.223995E+07   0.184962E+04
   237   0.565242E+04   0.147941E+01   0.416793E+02   0.223002E+07   0.183461E+04
   238   0.564196E+04   0.153333E+01   0.433811E+02   0.222016E+07   0.181971E+04
   239   0.563090E+04   0.158929E+01   0.450821E+02   0.221037E+07   0.180491E+04
   240   0.561926E+04   0.164734E+01   0.467815E+02   0.220065E+07   0.179023E+04
   241   0.560702E+04   0.170748E+01   0.484785E+02   0.219100E+07   0.177566E+04
   242   0.559419E+04   0.176973E+01   0.501725E+02   0.218142E+07   0.176119E+04
   243   0.558079E+04   0.183411E+01   0.518626E+02   0.217191E+07   0.174682E+04
   244   0.556681E+04   0.190063E+01   0.535482E+02   0.216246E+07   0.173257E+04
   245   0.555227E+04   0.196933E+01   0.552286E+02   0.215308E+07   0.171841E+04
   246   0.553716E+04   0.204020E+01   0.569030E+02   0.214376E+07   0.170436E+04
   247   0.552149E+04   0.211326E+01   0.585707E+02   0.213451E+07   0.169041E+04
   248   0.550528E+04   0.218854E+01   0.602310E+02   0.212532E+07   0.167657E+04
   249   0.548852E+04   0.226603E+01   0.618831E+02   0.211620E+07   0.166282E+04
   250   0.547122E+04   0.234576E+01   0.635263E+02   0.210714E+07   0.164918E+04
   251   0.545338E+04   0.242772E+01   0.651597E+02   0.209813E+07   0.163563E+04
   252   0.543500E+04   0.251194E+01   0.667827E+02   0.208919E+07   0.162219E+04
   253   0.541609E+04   0.259840E+01   0.683943E+02   0.208031E+07   0.160884E+04
   254   0.539666E+04   0.268713E+01   0.699938E+02   0.207149E+07   0.159559E+04
   255   0.537669E+04   0.277812E+01   0.715804E+02   0.206273E+07   0.158243E+04
   256   0.535620E+04   0.287138E+01   0.731534E+02   0.205403E+07   0.156937E+04
   257   0.533520E+04   0.296691E+01   0.747121E+02   0.204538E+07   0.155640E+04
   258   0.531369E+04   0.306471E+01   0.762555E+02   0.203679E+07   0.154353E+04
   259   0.529170E+04   0.316479E+01   0.777840E+02   0.202827E+07   0.153075E+04
   260   0.526924E+04   0.326714E+01   0.792955E+02   0.201979E+07   0.151806E+04
   261   0.524631E+04   0.337177E+01   0.807906E+02   0.201138E+07   0.150547E+04
   262   0.522293E+04   0.347867E+01   0.822679E+02   0.200302E+07   0.149296E+04
   263   0.519912E+04   0.358784E+01   0.837274E+02   0.199471E+07   0.148054E+04
   264   0.517487E+04   0.369928E+01   0.851676E+02   0.198646E+07   0.146822E+04
   265   0.515019E+04   0.381297E+01   0.865893E+02   0.197827E+07   0.145598E+04
   266   0.512509E+04   0.392890E+01   0.879901E+02   0.197013E+07   0.144383E+04
   267   0.509958E+04   0.404706E+01   0.893694E+02   0.196204E+07   0.143176E+04
   268   0.507366E+04   0.416744E+01   0.907279E+02   0.195401E+07   0.141978E+04
   269   0.504733E+04   0.429004E+01   0.920634E+02   0.194603E+07   0.140789E+04
   270   0.502060E+04   0.441482E+01   0.933766E+02   0.193810E+07   0.139608E+04
   271   0.499349E+04   0.454180E+01   0.946654E+02   0.193022E+07   0.138435E+04
   272   0.496599E+04   0.467094E+01   0.959303E+02   0.192239E+07   0.137271E+04
   273   0.493814E+04   0.480221E+01   0.971701E+02   0.191462E+07   0.136114E+04
   274   0.490992E+04   0.493561E+01   0.983853E+02   0.190690E+07   0.134966E+04
   275   0.488135E+04   0.507112E+01   0.995738E+02   0.189922E+07   0.133826E+04
   276   0.485246E+04   0.520871E+01   0.100736E+03   0.189160E+07   0.132694E+04
   277   0.482324E+04   0.534837E+01   0.101871E+03   0.188402E+07   0.131570E+04
   278   0.479370E+04   0.549008E+01   0.102978E+03   0.187649E+07   0.130453E+04
   279   0.476385E+04   0.563379E+01   0.104058E+03   0.186901E+07   0.129344E+04
   280   0.473371E+04   0.577947E+01   0.105108E+03   0.186158E+07   0.128243E+04
   281   0.470329E+04   0.592712E+01   0.106129E+03   0.185420E+07   0.127149E+04
   282   0.467259E+04   0.607668E+01   0.107121E+03   0.184686E+07   0.126063E+04
   283   0.464163E+04   0.622814E+01   0.108082E+03   0.183957E+07   0.124984E+04
   284   0.461041E+04   0.638146E+01   0.109013E+03   0.183232E+07   0.123912E+04
   285   0.457894E+04   0.653661E+01   0.109912E+03   0.182512E+07   0.122848E+04
   286   0.454724E+04   0.669356E+01   0.110779E+03   0.181797E+07   0.121791E+04
   287   0.451532E+04   0.685225E+01   0.111615E+03   0.181086E+07   0.120741E+04
   288   0.448318E+04   0.701267E+01   0.112418E+03   0.180379E+07   0.119697E+04
   289   0.445084E+04   0.717477E+01   0.113188E+03   0.179676E+07   0.118661E+04
   290   0.441831E+04   0.733850E+01   0.113925E+03   0.178978E+07   0.117632E+04
   291   0.438561E+04   0.750386E+01   0.114628E+03   0.178284E+07   0.116609E+04
   292   0.435272E+04   0.767071E+01   0.115296E+03   0.177595E+07   0.115593E+04
   293   0.431968E+04   0.783911E+01   0.115931E+03   0.176909E+07   0.114583E+04
   294   0.428648E+04   0.800900E+01   0.116530E+03   0.176228E+07   0.113580E+04
   295   0.425314E+04   0.818023E+01   0.117094E+03   0.175551E+07   0.112584E+04
   296   0.421966E+04   0.835287E+01   0.117623E+03   0.174877E+07   0.111593E+04
   297   0.418605E+04   0.852678E+01   0.118114E+03   0.174208E+07   0.110610E+04
   298   0.415233E+04   0.870194E+01   0.118569E+03   0.173543E+07   0.109632E+04
   299   0.411850E+04   0.887830E+01   0.118988E+03   0.172881E+07   0.108660E+04
   300   0.408458E+04   0.905577E+01   0.119370E+03   0.172223E+07   0.107694E+04
   301   0.405058E+04   0.923443E+01   0.119714E+03   0.171570E+07   0.106735E+04
   302   0.401651E+04   0.941406E+01   0.120022E+03   0.170919E+07   0.105781E+04
   303   0.398238E+04   0.959472E+01   0.120292E+03   0.170273E+07   0.104833E+04
   304   0.394821E+04   0.977636E+01   0.120525E+03   0.169630E+07   0.103892E+04
   305   0.391401E+04   0.995888E+01   0.120720E+03   0.168991E+07   0.102956E+04
   306   0.387978E+04   0.101423E+02   0.120878E+03   0.168356E+07   0.102026E+04
   307   0.384554E+04   0.103265E+02   0.120997E+03   0.167724E+07   0.101103E+04
   308   0.381130E+04   0.105114E+02   0.121079E+03   0.167096E+07   0.100185E+04
   309   0.377707E+04   0.106969E+02   0.121123E+03   0.166471E+07   0.992735E+03
   310   0.374285E+04   0.108830E+02   0.121129E+03   0.165850E+07   0.983682E+03
   311   0.370866E+04   0.110697E+02   0.121095E+03   0.165233E+07   0.974690E+03
   312   0.367451E+04   0.112568E+02   0.121024E+03   0.164619E+07   0.965759E+03
   313   0.364041E+04   0.114444E+02   0.120914E+03   0.164008E+07   0.956890E+03
   314   0.360636E+04   0.116323E+02   0.120765E+03   0.163401E+07   0.948083E+03
   315   0.357238E+04   0.118204E+02   0.120578E+03   0.162797E+07   0.939338E+03
   316   0.353848E+04   0.120088E+02   0.120352E+03   0.162197E+07   0.930655E+03
   317   0.350466E+04   0.121973E+02   0.120089E+03   0.161600E+07   0.922035E+03
   318   0.347096E+04   0.123858E+02   0.119786E+03   0.161007E+07   0.913477E+03
   319   0.343735E+04   0.125744E+02   0.119445E+03   0.160416E+07   0.904983E+03
   320   0.340386E+04   0.127629E+02   0.119067E+03   0.159829E+07   0.896551E+03
   321   0.337051E+04   0.129513E+02   0.118650E+03   0.159245E+07   0.888182E+03
