#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    81   0.214342E+04  -0.112671E+02   0.467792E-03  -0.112671E+02   0.482128E+00  -0.617305E-06   0.467792E-03  -0.617305E-06   0.114053E-06
    82   0.217050E+04  -0.118345E+02   0.461309E-03  -0.118345E+02   0.497154E+00  -0.660947E-06   0.461309E-03  -0.660947E-06   0.113374E-06
    83   0.219784E+04  -0.124107E+02   0.454929E-03  -0.124107E+02   0.512281E+00  -0.721535E-06   0.454929E-03  -0.721535E-06   0.112696E-06
    84   0.222541E+04  -0.129953E+02   0.448665E-03  -0.129953E+02   0.527500E+00  -0.791431E-06   0.448665E-03  -0.791431E-06   0.112020E-06
    85   0.225323E+04  -0.135879E+02   0.442531E-03  -0.135879E+02   0.542797E+00  -0.862997E-06   0.442531E-03  -0.862997E-06   0.111346E-06
    86   0.228128E+04  -0.141881E+02   0.436537E-03  -0.141881E+02   0.558165E+00  -0.929775E-06   0.436537E-03  -0.929775E-06   0.110674E-06
    87   0.230954E+04  -0.147954E+02   0.430684E-03  -0.147954E+02   0.573590E+00  -0.990017E-06   0.430684E-03  -0.990017E-06   0.110005E-06
    88   0.233798E+04  -0.154091E+02   0.424971E-03  -0.154091E+02   0.589059E+00  -0.104316E-05   0.424971E-03  -0.104316E-05   0.109338E-06
    89   0.236662E+04  -0.160290E+02   0.419394E-03  -0.160290E+02   0.604558E+00  -0.108862E-05   0.419394E-03  -0.108862E-05   0.108674E-06
    90   0.239545E+04  -0.166546E+02   0.413952E-03  -0.166546E+02   0.620072E+00  -0.112585E-05   0.413952E-03  -0.112585E-05   0.108013E-06
    91   0.242449E+04  -0.172856E+02   0.408643E-03  -0.172856E+02   0.635585E+00  -0.115448E-05   0.408643E-03  -0.115448E-05   0.107354E-06
    92   0.245373E+04  -0.179216E+02   0.403462E-03  -0.179216E+02   0.651085E+00  -0.117497E-05   0.403462E-03  -0.117497E-05   0.106699E-06
    93   0.248320E+04  -0.185621E+02   0.398406E-03  -0.185621E+02   0.666555E+00  -0.118798E-05   0.398406E-03  -0.118798E-05   0.106046E-06
    94   0.251288E+04  -0.192070E+02   0.393469E-03  -0.192070E+02   0.681984E+00  -0.119421E-05   0.393469E-03  -0.119421E-05   0.105397E-06
    95   0.254279E+04  -0.198558E+02   0.388649E-03  -0.198558E+02   0.697356E+00  -0.119430E-05   0.388649E-03  -0.119430E-05   0.104751E-06
    96   0.257293E+04  -0.205079E+02   0.383939E-03  -0.205079E+02   0.712657E+00  -0.118893E-05   0.383939E-03  -0.118893E-05   0.104108E-06
    97   0.260329E+04  -0.211630E+02   0.379337E-03  -0.211630E+02   0.727873E+00  -0.117877E-05   0.379337E-03  -0.117877E-05   0.103468E-06
    98   0.263388E+04  -0.218206E+02   0.374837E-03  -0.218206E+02   0.742988E+00  -0.116450E-05   0.374837E-03  -0.116450E-05   0.102832E-06
    99   0.266468E+04  -0.224802E+02   0.370435E-03  -0.224802E+02   0.757989E+00  -0.114677E-05   0.370435E-03  -0.114677E-05   0.102199E-06
   100   0.269571E+04  -0.231413E+02   0.366127E-03  -0.231413E+02   0.772863E+00  -0.112627E-05   0.366127E-03  -0.112627E-05   0.101569E-06
   101   0.272695E+04  -0.238034E+02   0.361908E-03  -0.238034E+02   0.787596E+00  -0.110365E-05   0.361908E-03  -0.110365E-05   0.100943E-06
   102   0.275841E+04  -0.244662E+02   0.357775E-03  -0.244662E+02   0.802167E+00  -0.107960E-05   0.357775E-03  -0.107960E-05   0.100321E-06
   103   0.279008E+04  -0.251289E+02   0.353722E-03  -0.251289E+02   0.816574E+00  -0.105477E-05   0.353722E-03  -0.105477E-05   0.997021E-07
   104   0.282195E+04  -0.257911E+02   0.349746E-03  -0.257911E+02   0.830790E+00  -0.102984E-05   0.349746E-03  -0.102984E-05   0.990869E-07
   105   0.285401E+04  -0.264523E+02   0.345842E-03  -0.264523E+02   0.844806E+00  -0.100548E-05   0.345842E-03  -0.100548E-05   0.984755E-07
   106   0.288627E+04  -0.271117E+02   0.342005E-03  -0.271117E+02   0.858607E+00  -0.982366E-06   0.342005E-03  -0.982366E-06   0.978678E-07
   107   0.291870E+04  -0.277690E+02   0.338232E-03  -0.277690E+02   0.872188E+00  -0.961155E-06   0.338232E-03  -0.961155E-06   0.972640E-07
   108   0.295131E+04  -0.284236E+02   0.334518E-03  -0.284236E+02   0.885525E+00  -0.942522E-06   0.334518E-03  -0.942522E-06   0.966642E-07
   109   0.298409E+04  -0.290747E+02   0.330859E-03  -0.290747E+02   0.898612E+00  -0.927138E-06   0.330859E-03  -0.927138E-06   0.960682E-07
   110   0.301703E+04  -0.297221E+02   0.327249E-03  -0.297221E+02   0.911426E+00  -0.915672E-06   0.327249E-03  -0.915672E-06   0.954763E-07
   111   0.305012E+04  -0.303650E+02   0.323687E-03  -0.303650E+02   0.923961E+00  -0.908624E-06   0.323687E-03  -0.908624E-06   0.948885E-07
   112   0.308337E+04  -0.310029E+02   0.320170E-03  -0.310029E+02   0.936208E+00  -0.905818E-06   0.320170E-03  -0.905818E-06   0.943047E-07
   113   0.311676E+04  -0.316353E+02   0.316700E-03  -0.316353E+02   0.948145E+00  -0.906908E-06   0.316700E-03  -0.906908E-06   0.937251E-07
   114   0.315029E+04  -0.322615E+02   0.313277E-03  -0.322615E+02   0.959757E+00  -0.911550E-06   0.313277E-03  -0.911550E-06   0.931495E-07
   115   0.318395E+04  -0.328811E+02   0.309900E-03  -0.328811E+02   0.971044E+00  -0.919396E-06   0.309900E-03  -0.919396E-06   0.925779E-07
   116   0.321774E+04  -0.334934E+02   0.306569E-03  -0.334934E+02   0.981990E+00  -0.930102E-06   0.306569E-03  -0.930102E-06   0.920105E-07
   117   0.325165E+04  -0.340978E+02   0.303286E-03  -0.340978E+02   0.992574E+00  -0.943323E-06   0.303286E-03  -0.943323E-06   0.914471E-07
