#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1490   0.740213E+03  -0.330373E+00   0.197059E-05  -0.330373E+00   0.107583E+02   0.398298E-07   0.197059E-05   0.398298E-07   0.342115E-08
  1491   0.737071E+03   0.226723E+00   0.196536E-05   0.226723E+00   0.108365E+02   0.421370E-07   0.196536E-05   0.421370E-07   0.341724E-08
  1492   0.733897E+03   0.773892E+00   0.195996E-05   0.773892E+00   0.109173E+02   0.444288E-07   0.195996E-05   0.444288E-07   0.341334E-08
  1493   0.730692E+03   0.131095E+01   0.195437E-05   0.131095E+01   0.110008E+02   0.467050E-07   0.195437E-05   0.467050E-07   0.340945E-08
  1494   0.727458E+03   0.183775E+01   0.194860E-05   0.183775E+01   0.110867E+02   0.489654E-07   0.194860E-05   0.489654E-07   0.340557E-08
  1495   0.724194E+03   0.235412E+01   0.194263E-05   0.235412E+01   0.111752E+02   0.512099E-07   0.194263E-05   0.512099E-07   0.340169E-08
  1496   0.720902E+03   0.285990E+01   0.193646E-05   0.285990E+01   0.112661E+02   0.534380E-07   0.193646E-05   0.534380E-07   0.339782E-08
  1497   0.717583E+03   0.335500E+01   0.193008E-05   0.335500E+01   0.113593E+02   0.556497E-07   0.193008E-05   0.556497E-07   0.339396E-08
  1498   0.714237E+03   0.383926E+01   0.192348E-05   0.383926E+01   0.114549E+02   0.578447E-07   0.192348E-05   0.578447E-07   0.339010E-08
  1499   0.710867E+03   0.431257E+01   0.191666E-05   0.431257E+01   0.115527E+02   0.600227E-07   0.191666E-05   0.600227E-07   0.338625E-08
  1500   0.707472E+03   0.477479E+01   0.190961E-05   0.477479E+01   0.116527E+02   0.621836E-07   0.190961E-05   0.621836E-07   0.338240E-08
  1501   0.704053E+03   0.522577E+01   0.190232E-05   0.522577E+01   0.117549E+02   0.643271E-07   0.190232E-05   0.643271E-07   0.337856E-08
  1502   0.700612E+03   0.566543E+01   0.189481E-05   0.566543E+01   0.118592E+02   0.664531E-07   0.189481E-05   0.664531E-07   0.337473E-08
  1503   0.697149E+03   0.609361E+01   0.188706E-05   0.609361E+01   0.119656E+02   0.685616E-07   0.188706E-05   0.685616E-07   0.337091E-08
  1504   0.693666E+03   0.651026E+01   0.187910E-05   0.651026E+01   0.120739E+02   0.706525E-07   0.187910E-05   0.706525E-07   0.336709E-08
  1505   0.690163E+03   0.691525E+01   0.187091E-05   0.691525E+01   0.121842E+02   0.727258E-07   0.187091E-05   0.727258E-07   0.336328E-08
  1506   0.686641E+03   0.730847E+01   0.186251E-05   0.730847E+01   0.122962E+02   0.747814E-07   0.186251E-05   0.747814E-07   0.335947E-08
  1507   0.683100E+03   0.768984E+01   0.185391E-05   0.768984E+01   0.124102E+02   0.768192E-07   0.185391E-05   0.768192E-07   0.335567E-08
  1508   0.679542E+03   0.805922E+01   0.184510E-05   0.805922E+01   0.125259E+02   0.788393E-07   0.184510E-05   0.788393E-07   0.335188E-08
  1509   0.675968E+03   0.841663E+01   0.183609E-05   0.841663E+01   0.126433E+02   0.808414E-07   0.183609E-05   0.808414E-07   0.334809E-08
  1510   0.672379E+03   0.876184E+01   0.182690E-05   0.876184E+01   0.127623E+02   0.828257E-07   0.182690E-05   0.828257E-07   0.334431E-08
  1511   0.668774E+03   0.909493E+01   0.181751E-05   0.909493E+01   0.128828E+02   0.847919E-07   0.181751E-05   0.847919E-07   0.334053E-08
  1512   0.665158E+03   0.941582E+01   0.180794E-05   0.941582E+01   0.130049E+02   0.867401E-07   0.180794E-05   0.867401E-07   0.333677E-08
  1513   0.661529E+03   0.972451E+01   0.179819E-05   0.972451E+01   0.131284E+02   0.886702E-07   0.179819E-05   0.886702E-07   0.333300E-08
  1514   0.657890E+03   0.100209E+02   0.178826E-05   0.100209E+02   0.132533E+02   0.905822E-07   0.178826E-05   0.905822E-07   0.332925E-08
  1515   0.654242E+03   0.103049E+02   0.177817E-05   0.103049E+02   0.133796E+02   0.924759E-07   0.177817E-05   0.924759E-07   0.332550E-08
  1516   0.650584E+03   0.105766E+02   0.176792E-05   0.105766E+02   0.135071E+02   0.943513E-07   0.176792E-05   0.943513E-07   0.332176E-08
  1517   0.646920E+03   0.108358E+02   0.175750E-05   0.108358E+02   0.136358E+02   0.962084E-07   0.175750E-05   0.962084E-07   0.331802E-08
  1518   0.643250E+03   0.110827E+02   0.174693E-05   0.110827E+02   0.137656E+02   0.980471E-07   0.174693E-05   0.980471E-07   0.331429E-08
  1519   0.639573E+03   0.113171E+02   0.173621E-05   0.113171E+02   0.138966E+02   0.998674E-07   0.173621E-05   0.998674E-07   0.331056E-08
  1520   0.635893E+03   0.115389E+02   0.172535E-05   0.115389E+02   0.140285E+02   0.101669E-06   0.172535E-05   0.101669E-06   0.330685E-08
  1521   0.632208E+03   0.117483E+02   0.171435E-05   0.117483E+02   0.141614E+02   0.103452E-06   0.171435E-05   0.103452E-06   0.330313E-08
  1522   0.628521E+03   0.119451E+02   0.170321E-05   0.119451E+02   0.142952E+02   0.105217E-06   0.170321E-05   0.105217E-06   0.329943E-08
  1523   0.624832E+03   0.121293E+02   0.169194E-05   0.121293E+02   0.144298E+02   0.106963E-06   0.169194E-05   0.106963E-06   0.329573E-08
  1524   0.621141E+03   0.123010E+02   0.168055E-05   0.123010E+02   0.145651E+02   0.108690E-06   0.168055E-05   0.108690E-06   0.329204E-08
  1525   0.617451E+03   0.124601E+02   0.166904E-05   0.124601E+02   0.147011E+02   0.110398E-06   0.166904E-05   0.110398E-06   0.328835E-08
  1526   0.613763E+03   0.126066E+02   0.165741E-05   0.126066E+02   0.148378E+02   0.112087E-06   0.165741E-05   0.112087E-06   0.328467E-08
  1527   0.610076E+03   0.127406E+02   0.164567E-05   0.127406E+02   0.149750E+02   0.113758E-06   0.164567E-05   0.113758E-06   0.328099E-08
  1528   0.606391E+03   0.128621E+02   0.163383E-05   0.128621E+02   0.151127E+02   0.115410E-06   0.163383E-05   0.115410E-06   0.327733E-08
  1529   0.602712E+03   0.129711E+02   0.162189E-05   0.129711E+02   0.152509E+02   0.117042E-06   0.162189E-05   0.117042E-06   0.327366E-08
  1530   0.599037E+03   0.130676E+02   0.160985E-05   0.130676E+02   0.153894E+02   0.118655E-06   0.160985E-05   0.118655E-06   0.327001E-08
  1531   0.595368E+03   0.131516E+02   0.159772E-05   0.131516E+02   0.155282E+02   0.120250E-06   0.159772E-05   0.120250E-06   0.326636E-08
  1532   0.591705E+03   0.132232E+02   0.158550E-05   0.132232E+02   0.156673E+02   0.121825E-06   0.158550E-05   0.121825E-06   0.326271E-08
  1533   0.588050E+03   0.132823E+02   0.157320E-05   0.132823E+02   0.158065E+02   0.123380E-06   0.157320E-05   0.123380E-06   0.325907E-08
  1534   0.584403E+03   0.133291E+02   0.156083E-05   0.133291E+02   0.159458E+02   0.124917E-06   0.156083E-05   0.124917E-06   0.325544E-08
  1535   0.580766E+03   0.133636E+02   0.154839E-05   0.133636E+02   0.160852E+02   0.126434E-06   0.154839E-05   0.126434E-06   0.325181E-08
  1536   0.577138E+03   0.133858E+02   0.153587E-05   0.133858E+02   0.162245E+02   0.127931E-06   0.153587E-05   0.127931E-06   0.324819E-08
  1537   0.573521E+03   0.133956E+02   0.152330E-05   0.133956E+02   0.163637E+02   0.129410E-06   0.152330E-05   0.129410E-06   0.324458E-08
  1538   0.569916E+03   0.133933E+02   0.151067E-05   0.133933E+02   0.165028E+02   0.130868E-06   0.151067E-05   0.130868E-06   0.324097E-08
  1539   0.566324E+03   0.133789E+02   0.149799E-05   0.133789E+02   0.166416E+02   0.132307E-06   0.149799E-05   0.132307E-06   0.323737E-08
  1540   0.562745E+03   0.133525E+02   0.148526E-05   0.133525E+02   0.167802E+02   0.133726E-06   0.148526E-05   0.133726E-06   0.323377E-08
  1541   0.559181E+03   0.133140E+02   0.147249E-05   0.133140E+02   0.169184E+02   0.135126E-06   0.147249E-05   0.135126E-06   0.323018E-08
  1542   0.555633E+03   0.132638E+02   0.145969E-05   0.132638E+02   0.170562E+02   0.136505E-06   0.145969E-05   0.136505E-06   0.322660E-08
  1543   0.552100E+03   0.132017E+02   0.144685E-05   0.132017E+02   0.171935E+02   0.137865E-06   0.144685E-05   0.137865E-06   0.322302E-08
  1544   0.548585E+03   0.131279E+02   0.143398E-05   0.131279E+02   0.173304E+02   0.139205E-06   0.143398E-05   0.139205E-06   0.321945E-08
  1545   0.545088E+03   0.130426E+02   0.142109E-05   0.130426E+02   0.174666E+02   0.140525E-06   0.142109E-05   0.140525E-06   0.321588E-08
  1546   0.541610E+03   0.129457E+02   0.140818E-05   0.129457E+02   0.176021E+02   0.141825E-06   0.140818E-05   0.141825E-06   0.321232E-08
  1547   0.538152E+03   0.128374E+02   0.139526E-05   0.128374E+02   0.177369E+02   0.143105E-06   0.139526E-05   0.143105E-06   0.320876E-08
  1548   0.534714E+03   0.127178E+02   0.138233E-05   0.127178E+02   0.178710E+02   0.144364E-06   0.138233E-05   0.144364E-06   0.320522E-08
  1549   0.531297E+03   0.125869E+02   0.136940E-05   0.125869E+02   0.180042E+02   0.145604E-06   0.136940E-05   0.145604E-06   0.320167E-08
  1550   0.527901E+03   0.124449E+02   0.135647E-05   0.124449E+02   0.181365E+02   0.146823E-06   0.135647E-05   0.146823E-06   0.319813E-08
  1551   0.524528E+03   0.122919E+02   0.134355E-05   0.122919E+02   0.182679E+02   0.148022E-06   0.134355E-05   0.148022E-06   0.319460E-08
  1552   0.521178E+03   0.121280E+02   0.133063E-05   0.121280E+02   0.183982E+02   0.149200E-06   0.133063E-05   0.149200E-06   0.319108E-08
  1553   0.517853E+03   0.119534E+02   0.131773E-05   0.119534E+02   0.185274E+02   0.150358E-06   0.131773E-05   0.150358E-06   0.318756E-08
  1554   0.514552E+03   0.117681E+02   0.130484E-05   0.117681E+02   0.186555E+02   0.151496E-06   0.130484E-05   0.151496E-06   0.318404E-08
  1555   0.511276E+03   0.115723E+02   0.129196E-05   0.115723E+02   0.187824E+02   0.152613E-06   0.129196E-05   0.152613E-06   0.318053E-08
  1556   0.508026E+03   0.113661E+02   0.127910E-05   0.113661E+02   0.189081E+02   0.153710E-06   0.127910E-05   0.153710E-06   0.317703E-08
  1557   0.504802E+03   0.111497E+02   0.126625E-05   0.111497E+02   0.190325E+02   0.154787E-06   0.126625E-05   0.154787E-06   0.317353E-08
  1558   0.501607E+03   0.109232E+02   0.125343E-05   0.109232E+02   0.191555E+02   0.155843E-06   0.125343E-05   0.155843E-06   0.317004E-08
  1559   0.498439E+03   0.106868E+02   0.124063E-05   0.106868E+02   0.192772E+02   0.156879E-06   0.124063E-05   0.156879E-06   0.316656E-08
  1560   0.495300E+03   0.104406E+02   0.122785E-05   0.104406E+02   0.193974E+02   0.157894E-06   0.122785E-05   0.157894E-06   0.316308E-08
  1561   0.492190E+03   0.101848E+02   0.121509E-05   0.101848E+02   0.195160E+02   0.158889E-06   0.121509E-05   0.158889E-06   0.315960E-08
  1562   0.489111E+03   0.991952E+01   0.120237E-05   0.991952E+01   0.196332E+02   0.159864E-06   0.120237E-05   0.159864E-06   0.315613E-08
  1563   0.486061E+03   0.964495E+01   0.118967E-05   0.964495E+01   0.197487E+02   0.160818E-06   0.118967E-05   0.160818E-06   0.315267E-08
  1564   0.483043E+03   0.936124E+01   0.117700E-05   0.936124E+01   0.198626E+02   0.161751E-06   0.117700E-05   0.161751E-06   0.314921E-08
  1565   0.480057E+03   0.906861E+01   0.116437E-05   0.906861E+01   0.199749E+02   0.162664E-06   0.116437E-05   0.162664E-06   0.314576E-08
  1566   0.477103E+03   0.876714E+01   0.115177E-05   0.876714E+01   0.200853E+02   0.163556E-06   0.115177E-05   0.163556E-06   0.314232E-08
  1567   0.474181E+03   0.845705E+01   0.113921E-05   0.845705E+01   0.201940E+02   0.164428E-06   0.113921E-05   0.164428E-06   0.313888E-08
  1568   0.471293E+03   0.813842E+01   0.112669E-05   0.813842E+01   0.203009E+02   0.165279E-06   0.112669E-05   0.165279E-06   0.313544E-08
  1569   0.468439E+03   0.781154E+01   0.111421E-05   0.781154E+01   0.204058E+02   0.166110E-06   0.111421E-05   0.166110E-06   0.313201E-08
  1570   0.465618E+03   0.747656E+01   0.110177E-05   0.747656E+01   0.205089E+02   0.166920E-06   0.110177E-05   0.166920E-06   0.312859E-08
  1571   0.462834E+03   0.713359E+01   0.108937E-05   0.713359E+01   0.206098E+02   0.167710E-06   0.108937E-05   0.167710E-06   0.312517E-08
  1572   0.460083E+03   0.678283E+01   0.107702E-05   0.678283E+01   0.207089E+02   0.168479E-06   0.107702E-05   0.168479E-06   0.312176E-08
  1573   0.457368E+03   0.642447E+01   0.106472E-05   0.642447E+01   0.208058E+02   0.169227E-06   0.106472E-05   0.169227E-06   0.311835E-08
  1574   0.454690E+03   0.605874E+01   0.105246E-05   0.605874E+01   0.209007E+02   0.169955E-06   0.105246E-05   0.169955E-06   0.311495E-08
  1575   0.452048E+03   0.568582E+01   0.104026E-05   0.568582E+01   0.209934E+02   0.170662E-06   0.104026E-05   0.170662E-06   0.311155E-08
  1576   0.449442E+03   0.530595E+01   0.102811E-05   0.530595E+01   0.210840E+02   0.171348E-06   0.102811E-05   0.171348E-06   0.310816E-08
  1577   0.446875E+03   0.491930E+01   0.101602E-05   0.491930E+01   0.211723E+02   0.172014E-06   0.101602E-05   0.172014E-06   0.310478E-08
  1578   0.444345E+03   0.452611E+01   0.100399E-05   0.452611E+01   0.212585E+02   0.172659E-06   0.100399E-05   0.172659E-06   0.310140E-08
  1579   0.441854E+03   0.412656E+01   0.992012E-06   0.412656E+01   0.213424E+02   0.173283E-06   0.992012E-06   0.173283E-06   0.309803E-08
  1580   0.439401E+03   0.372085E+01   0.980097E-06   0.372085E+01   0.214239E+02   0.173887E-06   0.980097E-06   0.173887E-06   0.309466E-08
  1581   0.436988E+03   0.330918E+01   0.968245E-06   0.330918E+01   0.215032E+02   0.174470E-06   0.968245E-06   0.174470E-06   0.309129E-08
  1582   0.434614E+03   0.289174E+01   0.956458E-06   0.289174E+01   0.215802E+02   0.175032E-06   0.956458E-06   0.175032E-06   0.308794E-08
  1583   0.432279E+03   0.246872E+01   0.944738E-06   0.246872E+01   0.216547E+02   0.175573E-06   0.944738E-06   0.175573E-06   0.308459E-08
  1584   0.429984E+03   0.204031E+01   0.933086E-06   0.204031E+01   0.217268E+02   0.176094E-06   0.933086E-06   0.176094E-06   0.308124E-08
  1585   0.427728E+03   0.160672E+01   0.921504E-06   0.160672E+01   0.217964E+02   0.176594E-06   0.921504E-06   0.176594E-06   0.307790E-08
  1586   0.425513E+03   0.116811E+01   0.909994E-06   0.116811E+01   0.218635E+02   0.177073E-06   0.909994E-06   0.177073E-06   0.307456E-08
  1587   0.423338E+03   0.724717E+00   0.898559E-06   0.724717E+00   0.219282E+02   0.177531E-06   0.898559E-06   0.177531E-06   0.307123E-08
  1588   0.421204E+03   0.276740E+00   0.887200E-06   0.276740E+00   0.219902E+02   0.177968E-06   0.887200E-06   0.177968E-06   0.306791E-08
  1589   0.419110E+03  -0.175618E+00   0.875918E-06  -0.175618E+00   0.220497E+02   0.178385E-06   0.875918E-06   0.178385E-06   0.306459E-08
  1590   0.417057E+03  -0.632146E+00   0.864717E-06  -0.632146E+00   0.221066E+02   0.178781E-06   0.864717E-06   0.178781E-06   0.306127E-08
  1591   0.415046E+03  -0.109264E+01   0.853597E-06  -0.109264E+01   0.221608E+02   0.179156E-06   0.853597E-06   0.179156E-06   0.305796E-08
  1592   0.413075E+03  -0.155688E+01   0.842560E-06  -0.155688E+01   0.222124E+02   0.179510E-06   0.842560E-06   0.179510E-06   0.305466E-08
  1593   0.411146E+03  -0.202467E+01   0.831609E-06  -0.202467E+01   0.222614E+02   0.179843E-06   0.831609E-06   0.179843E-06   0.305136E-08
  1594   0.409259E+03  -0.249579E+01   0.820745E-06  -0.249579E+01   0.223076E+02   0.180155E-06   0.820745E-06   0.180155E-06   0.304807E-08
  1595   0.407413E+03  -0.297003E+01   0.809970E-06  -0.297003E+01   0.223511E+02   0.180446E-06   0.809970E-06   0.180446E-06   0.304478E-08
  1596   0.405608E+03  -0.344718E+01   0.799286E-06  -0.344718E+01   0.223920E+02   0.180717E-06   0.799286E-06   0.180717E-06   0.304150E-08
  1597   0.403845E+03  -0.392703E+01   0.788695E-06  -0.392703E+01   0.224301E+02   0.180966E-06   0.788695E-06   0.180966E-06   0.303822E-08
  1598   0.402124E+03  -0.440935E+01   0.778199E-06  -0.440935E+01   0.224654E+02   0.181195E-06   0.778199E-06   0.181195E-06   0.303495E-08
  1599   0.400444E+03  -0.489395E+01   0.767799E-06  -0.489395E+01   0.224980E+02   0.181402E-06   0.767799E-06   0.181402E-06   0.303168E-08
  1600   0.398807E+03  -0.538060E+01   0.757498E-06  -0.538060E+01   0.225277E+02   0.181589E-06   0.757498E-06   0.181589E-06   0.302842E-08
  1601   0.397211E+03  -0.586911E+01   0.747297E-06  -0.586911E+01   0.225547E+02   0.181755E-06   0.747297E-06   0.181755E-06   0.302517E-08
  1602   0.395656E+03  -0.635928E+01   0.737197E-06  -0.635928E+01   0.225789E+02   0.181899E-06   0.737197E-06   0.181899E-06   0.302192E-08
  1603   0.394144E+03  -0.685089E+01   0.727200E-06  -0.685089E+01   0.226002E+02   0.182023E-06   0.727200E-06   0.182023E-06   0.301867E-08
  1604   0.392672E+03  -0.734375E+01   0.717306E-06  -0.734375E+01   0.226187E+02   0.182127E-06   0.717306E-06   0.182127E-06   0.301543E-08
  1605   0.391243E+03  -0.783769E+01   0.707518E-06  -0.783769E+01   0.226343E+02   0.182210E-06   0.707518E-06   0.182210E-06   0.301219E-08
  1606   0.389854E+03  -0.833246E+01   0.697835E-06  -0.833246E+01   0.226471E+02   0.182273E-06   0.697835E-06   0.182273E-06   0.300896E-08
  1607   0.388507E+03  -0.882782E+01   0.688259E-06  -0.882782E+01   0.226570E+02   0.182315E-06   0.688259E-06   0.182315E-06   0.300574E-08
  1608   0.387201E+03  -0.932368E+01   0.678790E-06  -0.932368E+01   0.226640E+02   0.182338E-06   0.678790E-06   0.182338E-06   0.300252E-08
  1609   0.385936E+03  -0.981969E+01   0.669431E-06  -0.981969E+01   0.226682E+02   0.182340E-06   0.669431E-06   0.182340E-06   0.299930E-08
  1610   0.384712E+03  -0.103158E+02   0.660182E-06  -0.103158E+02   0.226694E+02   0.182323E-06   0.660182E-06   0.182323E-06   0.299610E-08
  1611   0.383529E+03  -0.108115E+02   0.651044E-06  -0.108115E+02   0.226680E+02   0.182287E-06   0.651044E-06   0.182287E-06   0.299289E-08
  1612   0.382386E+03  -0.113069E+02   0.642019E-06  -0.113069E+02   0.226636E+02   0.182230E-06   0.642019E-06   0.182230E-06   0.298969E-08
  1613   0.381284E+03  -0.118016E+02   0.633107E-06  -0.118016E+02   0.226564E+02   0.182155E-06   0.633107E-06   0.182155E-06   0.298650E-08
  1614   0.380222E+03  -0.122954E+02   0.624309E-06  -0.122954E+02   0.226465E+02   0.182060E-06   0.624309E-06   0.182060E-06   0.298331E-08
  1615   0.379199E+03  -0.127882E+02   0.615627E-06  -0.127882E+02   0.226338E+02   0.181947E-06   0.615627E-06   0.181947E-06   0.298012E-08
  1616   0.378218E+03  -0.132798E+02   0.607062E-06  -0.132798E+02   0.226183E+02   0.181814E-06   0.607062E-06   0.181814E-06   0.297695E-08
  1617   0.377275E+03  -0.137698E+02   0.598614E-06  -0.137698E+02   0.225999E+02   0.181662E-06   0.598614E-06   0.181662E-06   0.297377E-08
  1618   0.376372E+03  -0.142583E+02   0.590286E-06  -0.142583E+02   0.225788E+02   0.181492E-06   0.590286E-06   0.181492E-06   0.297060E-08
  1619   0.375508E+03  -0.147449E+02   0.582077E-06  -0.147449E+02   0.225549E+02   0.181304E-06   0.582077E-06   0.181304E-06   0.296744E-08
  1620   0.374682E+03  -0.152294E+02   0.573989E-06  -0.152294E+02   0.225283E+02   0.181097E-06   0.573989E-06   0.181097E-06   0.296428E-08
  1621   0.373895E+03  -0.157119E+02   0.566023E-06  -0.157119E+02   0.224988E+02   0.180872E-06   0.566023E-06   0.180872E-06   0.296113E-08
  1622   0.373145E+03  -0.161919E+02   0.558181E-06  -0.161919E+02   0.224666E+02   0.180628E-06   0.558181E-06   0.180628E-06   0.295798E-08
  1623   0.372434E+03  -0.166693E+02   0.550463E-06  -0.166693E+02   0.224317E+02   0.180367E-06   0.550463E-06   0.180367E-06   0.295484E-08
  1624   0.371760E+03  -0.171440E+02   0.542870E-06  -0.171440E+02   0.223941E+02   0.180088E-06   0.542870E-06   0.180088E-06   0.295170E-08
  1625   0.371123E+03  -0.176157E+02   0.535403E-06  -0.176157E+02   0.223537E+02   0.179791E-06   0.535403E-06   0.179791E-06   0.294856E-08
  1626   0.370523E+03  -0.180843E+02   0.528064E-06  -0.180843E+02   0.223108E+02   0.179477E-06   0.528064E-06   0.179477E-06   0.294544E-08
  1627   0.369959E+03  -0.185495E+02   0.520854E-06  -0.185495E+02   0.222651E+02   0.179146E-06   0.520854E-06   0.179146E-06   0.294231E-08
  1628   0.369431E+03  -0.190111E+02   0.513774E-06  -0.190111E+02   0.222168E+02   0.178797E-06   0.513774E-06   0.178797E-06   0.293919E-08
  1629   0.368939E+03  -0.194692E+02   0.506824E-06  -0.194692E+02   0.221659E+02   0.178431E-06   0.506824E-06   0.178431E-06   0.293608E-08
  1630   0.368482E+03  -0.199233E+02   0.500006E-06  -0.199233E+02   0.221123E+02   0.178048E-06   0.500006E-06   0.178048E-06   0.293297E-08
  1631   0.368060E+03  -0.203735E+02   0.493321E-06  -0.203735E+02   0.220562E+02   0.177648E-06   0.493321E-06   0.177648E-06   0.292987E-08
  1632   0.367672E+03  -0.208195E+02   0.486770E-06  -0.208195E+02   0.219975E+02   0.177231E-06   0.486770E-06   0.177231E-06   0.292677E-08
  1633   0.367317E+03  -0.212611E+02   0.480355E-06  -0.212611E+02   0.219362E+02   0.176798E-06   0.480355E-06   0.176798E-06   0.292367E-08
  1634   0.366997E+03  -0.216981E+02   0.474075E-06  -0.216981E+02   0.218725E+02   0.176349E-06   0.474075E-06   0.176349E-06   0.292059E-08
  1635   0.366709E+03  -0.221306E+02   0.467933E-06  -0.221306E+02   0.218061E+02   0.175883E-06   0.467933E-06   0.175883E-06   0.291750E-08
  1636   0.366453E+03  -0.225581E+02   0.461929E-06  -0.225581E+02   0.217373E+02   0.175401E-06   0.461929E-06   0.175401E-06   0.291442E-08
  1637   0.366230E+03  -0.229808E+02   0.456065E-06  -0.229808E+02   0.216661E+02   0.174903E-06   0.456065E-06   0.174903E-06   0.291135E-08
  1638   0.366038E+03  -0.233982E+02   0.450342E-06  -0.233982E+02   0.215923E+02   0.174389E-06   0.450342E-06   0.174389E-06   0.290828E-08
  1639   0.365877E+03  -0.238103E+02   0.444760E-06  -0.238103E+02   0.215162E+02   0.173860E-06   0.444760E-06   0.173860E-06   0.290521E-08
  1640   0.365747E+03  -0.242171E+02   0.439321E-06  -0.242171E+02   0.214378E+02   0.173314E-06   0.439321E-06   0.173314E-06   0.290215E-08
  1641   0.365647E+03  -0.246182E+02   0.434026E-06  -0.246182E+02   0.213571E+02   0.172754E-06   0.434026E-06   0.172754E-06   0.289910E-08
  1642   0.365576E+03  -0.250136E+02   0.428875E-06  -0.250136E+02   0.212741E+02   0.172178E-06   0.428875E-06   0.172178E-06   0.289605E-08
  1643   0.365534E+03  -0.254031E+02   0.423871E-06  -0.254031E+02   0.211888E+02   0.171587E-06   0.423871E-06   0.171587E-06   0.289300E-08
  1644   0.365521E+03  -0.257867E+02   0.419014E-06  -0.257867E+02   0.211014E+02   0.170980E-06   0.419014E-06   0.170980E-06   0.288996E-08
  1645   0.365536E+03  -0.261640E+02   0.414305E-06  -0.261640E+02   0.210118E+02   0.170359E-06   0.414305E-06   0.170359E-06   0.288693E-08
  1646   0.365578E+03  -0.265352E+02   0.409745E-06  -0.265352E+02   0.209199E+02   0.169723E-06   0.409745E-06   0.169723E-06   0.288390E-08
  1647   0.365647E+03  -0.269000E+02   0.405336E-06  -0.269000E+02   0.208261E+02   0.169073E-06   0.405336E-06   0.169073E-06   0.288087E-08
  1648   0.365741E+03  -0.272582E+02   0.401078E-06  -0.272582E+02   0.207300E+02   0.168408E-06   0.401078E-06   0.168408E-06   0.287785E-08
  1649   0.365862E+03  -0.276098E+02   0.396973E-06  -0.276098E+02   0.206319E+02   0.167729E-06   0.396973E-06   0.167729E-06   0.287483E-08
  1650   0.366008E+03  -0.279547E+02   0.393022E-06  -0.279547E+02   0.205317E+02   0.167035E-06   0.393022E-06   0.167035E-06   0.287182E-08
  1651   0.366177E+03  -0.282927E+02   0.389225E-06  -0.282927E+02   0.204296E+02   0.166327E-06   0.389225E-06   0.166327E-06   0.286881E-08
  1652   0.366372E+03  -0.286237E+02   0.385583E-06  -0.286237E+02   0.203255E+02   0.165606E-06   0.385583E-06   0.165606E-06   0.286581E-08
  1653   0.366588E+03  -0.289477E+02   0.382097E-06  -0.289477E+02   0.202195E+02   0.164870E-06   0.382097E-06   0.164870E-06   0.286281E-08
  1654   0.366829E+03  -0.292645E+02   0.378766E-06  -0.292645E+02   0.201116E+02   0.164121E-06   0.378766E-06   0.164121E-06   0.285982E-08
  1655   0.367090E+03  -0.295741E+02   0.375593E-06  -0.295741E+02   0.200019E+02   0.163358E-06   0.375593E-06   0.163358E-06   0.285683E-08
  1656   0.367373E+03  -0.298763E+02   0.372576E-06  -0.298763E+02   0.198904E+02   0.162581E-06   0.372576E-06   0.162581E-06   0.285385E-08
  1657   0.367677E+03  -0.301711E+02   0.369716E-06  -0.301711E+02   0.197772E+02   0.161791E-06   0.369716E-06   0.161791E-06   0.285087E-08
  1658   0.368001E+03  -0.304583E+02   0.367014E-06  -0.304583E+02   0.196622E+02   0.160987E-06   0.367014E-06   0.160987E-06   0.284790E-08
  1659   0.368346E+03  -0.307379E+02   0.364470E-06  -0.307379E+02   0.195456E+02   0.160170E-06   0.364470E-06   0.160170E-06   0.284493E-08
  1660   0.368708E+03  -0.310099E+02   0.362085E-06  -0.310099E+02   0.194274E+02   0.159339E-06   0.362085E-06   0.159339E-06   0.284196E-08
  1661   0.369090E+03  -0.312742E+02   0.359858E-06  -0.312742E+02   0.193075E+02   0.158496E-06   0.359858E-06   0.158496E-06   0.283900E-08
  1662   0.369488E+03  -0.315305E+02   0.357791E-06  -0.315305E+02   0.191862E+02   0.157639E-06   0.357791E-06   0.157639E-06   0.283605E-08
  1663   0.369904E+03  -0.317791E+02   0.355884E-06  -0.317791E+02   0.190634E+02   0.156769E-06   0.355884E-06   0.156769E-06   0.283310E-08
  1664   0.370337E+03  -0.320197E+02   0.354137E-06  -0.320197E+02   0.189392E+02   0.155886E-06   0.354137E-06   0.155886E-06   0.283015E-08
  1665   0.370785E+03  -0.322521E+02   0.352550E-06  -0.322521E+02   0.188136E+02   0.154990E-06   0.352550E-06   0.154990E-06   0.282721E-08
  1666   0.371248E+03  -0.324766E+02   0.351125E-06  -0.324766E+02   0.186866E+02   0.154081E-06   0.351125E-06   0.154081E-06   0.282427E-08
  1667   0.371726E+03  -0.326929E+02   0.349861E-06  -0.326929E+02   0.185584E+02   0.153160E-06   0.349861E-06   0.153160E-06   0.282134E-08
  1668   0.372218E+03  -0.329010E+02   0.348759E-06  -0.329010E+02   0.184288E+02   0.152226E-06   0.348759E-06   0.152226E-06   0.281841E-08
  1669   0.372722E+03  -0.331008E+02   0.347819E-06  -0.331008E+02   0.182980E+02   0.151279E-06   0.347819E-06   0.151279E-06   0.281549E-08
  1670   0.373239E+03  -0.332923E+02   0.347042E-06  -0.332923E+02   0.181660E+02   0.150320E-06   0.347042E-06   0.150320E-06   0.281257E-08
