#    L    TT             EE             BB             TE             PP             TP             EP          
    30   0.105345E+04   0.211938E-01   0.000000E+00   0.187586E+01   0.138306E-06   0.121954E-02  -0.244994E-06
    31   0.106968E+04   0.237677E-01   0.000000E+00   0.190196E+01   0.138517E-06   0.118852E-02  -0.101645E-06
    32   0.108651E+04   0.265639E-01   0.000000E+00   0.192211E+01   0.138664E-06   0.115890E-02  -0.140284E-06
    33   0.110342E+04   0.295421E-01   0.000000E+00   0.193479E+01   0.138752E-06   0.113052E-02  -0.321593E-06
    34   0.112039E+04   0.327276E-01   0.000000E+00   0.194105E+01   0.138781E-06   0.110318E-02  -0.565258E-06
    35   0.113800E+04   0.361274E-01   0.000000E+00   0.193172E+01   0.138757E-06   0.107665E-02  -0.753864E-06
    36   0.115534E+04   0.397700E-01   0.000000E+00   0.191705E+01   0.138683E-06   0.105081E-02  -0.789672E-06
    37   0.117293E+04   0.436808E-01   0.000000E+00   0.189122E+01   0.138563E-06   0.102607E-02  -0.689205E-06
    38   0.119089E+04   0.478480E-01   0.000000E+00   0.185624E+01   0.138401E-06   0.100278E-02  -0.501869E-06
    39   0.120913E+04   0.522610E-01   0.000000E+00   0.181189E+01   0.138198E-06   0.980730E-03  -0.295130E-06
    40   0.122755E+04   0.569124E-01   0.000000E+00   0.175640E+01   0.137957E-06   0.959568E-03  -0.140745E-06
    41   0.124607E+04   0.617989E-01   0.000000E+00   0.168854E+01   0.137679E-06   0.938997E-03  -0.919967E-07
    42   0.126469E+04   0.669336E-01   0.000000E+00   0.160931E+01   0.137368E-06   0.918964E-03  -0.129182E-06
    43   0.128344E+04   0.723331E-01   0.000000E+00   0.151987E+01   0.137024E-06   0.899479E-03  -0.214502E-06
    44   0.130234E+04   0.780123E-01   0.000000E+00   0.141974E+01   0.136652E-06   0.880554E-03  -0.310290E-06
    45   0.132148E+04   0.839829E-01   0.000000E+00   0.130817E+01   0.136252E-06   0.862199E-03  -0.379005E-06
    46   0.134082E+04   0.902522E-01   0.000000E+00   0.118481E+01   0.135828E-06   0.844419E-03  -0.394145E-06
    47   0.136034E+04   0.968205E-01   0.000000E+00   0.104911E+01   0.135381E-06   0.827194E-03  -0.372987E-06
    48   0.138001E+04   0.103679E+00   0.000000E+00   0.900464E+00   0.134913E-06   0.810494E-03  -0.343672E-06
    49   0.139983E+04   0.110820E+00   0.000000E+00   0.738323E+00   0.134425E-06   0.794295E-03  -0.334269E-06
    50   0.141984E+04   0.118244E+00   0.000000E+00   0.562290E+00   0.133920E-06   0.778569E-03  -0.372774E-06
    51   0.144011E+04   0.125956E+00   0.000000E+00   0.372274E+00   0.133398E-06   0.763299E-03  -0.476707E-06
    52   0.146058E+04   0.133960E+00   0.000000E+00   0.169226E+00   0.132860E-06   0.748495E-03  -0.621913E-06
    53   0.148119E+04   0.142257E+00   0.000000E+00  -0.458526E-01   0.132309E-06   0.734179E-03  -0.773887E-06
    54   0.150191E+04   0.150850E+00   0.000000E+00  -0.272819E+00   0.131744E-06   0.720369E-03  -0.898204E-06
    55   0.152273E+04   0.159742E+00   0.000000E+00  -0.511901E+00   0.131167E-06   0.707088E-03  -0.960504E-06
    56   0.154378E+04   0.168932E+00   0.000000E+00  -0.763969E+00   0.130578E-06   0.694341E-03  -0.937039E-06
    57   0.156514E+04   0.178415E+00   0.000000E+00  -0.102990E+01   0.129979E-06   0.682085E-03  -0.846273E-06
    58   0.158679E+04   0.188190E+00   0.000000E+00  -0.130991E+01   0.129369E-06   0.670263E-03  -0.717169E-06
    59   0.160863E+04   0.198257E+00   0.000000E+00  -0.160389E+01   0.128750E-06   0.658818E-03  -0.578633E-06
    60   0.163063E+04   0.208608E+00   0.000000E+00  -0.191137E+01   0.128122E-06   0.647695E-03  -0.459520E-06
    61   0.165282E+04   0.219235E+00   0.000000E+00  -0.223185E+01   0.127485E-06   0.636843E-03  -0.383426E-06
    62   0.167519E+04   0.230136E+00   0.000000E+00  -0.256535E+01   0.126841E-06   0.626231E-03  -0.353065E-06
    63   0.169776E+04   0.241308E+00   0.000000E+00  -0.291201E+01   0.126191E-06   0.615835E-03  -0.365944E-06
    64   0.172053E+04   0.252749E+00   0.000000E+00  -0.327196E+01   0.125534E-06   0.605631E-03  -0.419573E-06
    65   0.174354E+04   0.264458E+00   0.000000E+00  -0.364538E+01   0.124874E-06   0.595595E-03  -0.511474E-06
    66   0.176682E+04   0.276428E+00   0.000000E+00  -0.403249E+01   0.124210E-06   0.585712E-03  -0.636362E-06
    67   0.179035E+04   0.288652E+00   0.000000E+00  -0.443275E+01   0.123542E-06   0.576018E-03  -0.777742E-06
    68   0.181410E+04   0.301122E+00   0.000000E+00  -0.484546E+01   0.122873E-06   0.566554E-03  -0.916335E-06
    69   0.183801E+04   0.313828E+00   0.000000E+00  -0.526991E+01   0.122201E-06   0.557367E-03  -0.103289E-05
    70   0.186206E+04   0.326765E+00   0.000000E+00  -0.570560E+01   0.121527E-06   0.548499E-03  -0.110817E-05
    71   0.188622E+04   0.339928E+00   0.000000E+00  -0.615236E+01   0.120852E-06   0.539982E-03  -0.112837E-05
    72   0.191062E+04   0.353314E+00   0.000000E+00  -0.661110E+01   0.120176E-06   0.531796E-03  -0.110128E-05
    73   0.193536E+04   0.366916E+00   0.000000E+00  -0.708277E+01   0.119499E-06   0.523907E-03  -0.104005E-05
    74   0.196045E+04   0.380725E+00   0.000000E+00  -0.756728E+01   0.118820E-06   0.516280E-03  -0.957847E-06
    75   0.198590E+04   0.394728E+00   0.000000E+00  -0.806418E+01   0.118140E-06   0.508883E-03  -0.867801E-06
    76   0.201166E+04   0.408911E+00   0.000000E+00  -0.857295E+01   0.117460E-06   0.501683E-03  -0.781748E-06
    77   0.203760E+04   0.423262E+00   0.000000E+00  -0.909213E+01   0.116778E-06   0.494655E-03  -0.706374E-06
    78   0.206372E+04   0.437772E+00   0.000000E+00  -0.962126E+01   0.116096E-06   0.487775E-03  -0.647073E-06
    79   0.209004E+04   0.452427E+00   0.000000E+00  -0.101602E+02   0.115415E-06   0.481020E-03  -0.609235E-06
    80   0.211660E+04   0.467216E+00   0.000000E+00  -0.107089E+02   0.114733E-06   0.474365E-03  -0.598247E-06
    81   0.214342E+04   0.482128E+00   0.000000E+00  -0.112671E+02   0.114053E-06   0.467792E-03  -0.617317E-06
    82   0.217050E+04   0.497154E+00   0.000000E+00  -0.118345E+02   0.113374E-06   0.461309E-03  -0.660968E-06
    83   0.219784E+04   0.512281E+00   0.000000E+00  -0.124107E+02   0.112696E-06   0.454929E-03  -0.721554E-06
    84   0.222541E+04   0.527500E+00   0.000000E+00  -0.129953E+02   0.112020E-06   0.448665E-03  -0.791441E-06
    85   0.225323E+04   0.542797E+00   0.000000E+00  -0.135880E+02   0.111346E-06   0.442531E-03  -0.862997E-06
    86   0.228128E+04   0.558165E+00   0.000000E+00  -0.141881E+02   0.110674E-06   0.436537E-03  -0.929774E-06
    87   0.230954E+04   0.573590E+00   0.000000E+00  -0.147954E+02   0.110005E-06   0.430684E-03  -0.990023E-06
    88   0.233798E+04   0.589059E+00   0.000000E+00  -0.154091E+02   0.109338E-06   0.424970E-03  -0.104317E-05
    89   0.236662E+04   0.604558E+00   0.000000E+00  -0.160290E+02   0.108674E-06   0.419393E-03  -0.108864E-05
    90   0.239545E+04   0.620072E+00   0.000000E+00  -0.166546E+02   0.108013E-06   0.413952E-03  -0.112585E-05
    91   0.242449E+04   0.635585E+00   0.000000E+00  -0.172856E+02   0.107354E-06   0.408643E-03  -0.115445E-05
    92   0.245373E+04   0.651085E+00   0.000000E+00  -0.179216E+02   0.106699E-06   0.403463E-03  -0.117490E-05
    93   0.248320E+04   0.666555E+00   0.000000E+00  -0.185621E+02   0.106047E-06   0.398407E-03  -0.118787E-05
    94   0.251288E+04   0.681984E+00   0.000000E+00  -0.192070E+02   0.105397E-06   0.393472E-03  -0.119404E-05
    95   0.254279E+04   0.697356E+00   0.000000E+00  -0.198558E+02   0.104751E-06   0.388652E-03  -0.119408E-05
    96   0.257293E+04   0.712657E+00   0.000000E+00  -0.205079E+02   0.104108E-06   0.383943E-03  -0.118866E-05
    97   0.260329E+04   0.727873E+00   0.000000E+00  -0.211630E+02   0.103469E-06   0.379341E-03  -0.117847E-05
    98   0.263388E+04   0.742988E+00   0.000000E+00  -0.218206E+02   0.102832E-06   0.374841E-03  -0.116416E-05
    99   0.266468E+04   0.757989E+00   0.000000E+00  -0.224802E+02   0.102199E-06   0.370440E-03  -0.114641E-05
   100   0.269571E+04   0.772863E+00   0.000000E+00  -0.231413E+02   0.101570E-06   0.366132E-03  -0.112589E-05
   101   0.272695E+04   0.787596E+00   0.000000E+00  -0.238034E+02   0.100944E-06   0.361913E-03  -0.110327E-05
   102   0.275841E+04   0.802167E+00   0.000000E+00  -0.244662E+02   0.100321E-06   0.357780E-03  -0.107922E-05
   103   0.279008E+04   0.816574E+00   0.000000E+00  -0.251289E+02   0.997025E-07   0.353727E-03  -0.105442E-05
   104   0.282195E+04   0.830790E+00   0.000000E+00  -0.257911E+02   0.990873E-07   0.349750E-03  -0.102952E-05
   105   0.285401E+04   0.844806E+00   0.000000E+00  -0.264523E+02   0.984758E-07   0.345845E-03  -0.100520E-05
   106   0.288627E+04   0.858607E+00   0.000000E+00  -0.271117E+02   0.978681E-07   0.342008E-03  -0.982129E-06
   107   0.291870E+04   0.872188E+00   0.000000E+00  -0.277690E+02   0.972642E-07   0.338234E-03  -0.960973E-06
   108   0.295131E+04   0.885525E+00   0.000000E+00  -0.284236E+02   0.966643E-07   0.334519E-03  -0.942400E-06
   109   0.298409E+04   0.898612E+00   0.000000E+00  -0.290747E+02   0.960683E-07   0.330859E-03  -0.927077E-06
   110   0.301703E+04   0.911426E+00   0.000000E+00  -0.297221E+02   0.954763E-07   0.327249E-03  -0.915672E-06
   111   0.305012E+04   0.923961E+00   0.000000E+00  -0.303650E+02   0.948885E-07   0.323686E-03  -0.908682E-06
   112   0.308337E+04   0.936208E+00   0.000000E+00  -0.310029E+02   0.943047E-07   0.320170E-03  -0.905930E-06
   113   0.311676E+04   0.948145E+00   0.000000E+00  -0.316353E+02   0.937250E-07   0.316699E-03  -0.907069E-06
   114   0.315029E+04   0.959757E+00   0.000000E+00  -0.322615E+02   0.931494E-07   0.313275E-03  -0.911753E-06
   115   0.318395E+04   0.971044E+00   0.000000E+00  -0.328810E+02   0.925779E-07   0.309898E-03  -0.919635E-06
   116   0.321774E+04   0.981990E+00   0.000000E+00  -0.334933E+02   0.920105E-07   0.306568E-03  -0.930368E-06
   117   0.325165E+04   0.992574E+00   0.000000E+00  -0.340978E+02   0.914472E-07   0.303285E-03  -0.943608E-06
   118   0.328566E+04   0.100280E+01   0.000000E+00  -0.346939E+02   0.908879E-07   0.300049E-03  -0.959008E-06
   119   0.331978E+04   0.101264E+01   0.000000E+00  -0.352810E+02   0.903327E-07   0.296861E-03  -0.976223E-06
   120   0.335399E+04   0.102210E+01   0.000000E+00  -0.358586E+02   0.897816E-07   0.293721E-03  -0.994908E-06
   121   0.338829E+04   0.103115E+01   0.000000E+00  -0.364261E+02   0.892345E-07   0.290628E-03  -0.101472E-05
   122   0.342267E+04   0.103980E+01   0.000000E+00  -0.369831E+02   0.886915E-07   0.287583E-03  -0.103530E-05
   123   0.345711E+04   0.104803E+01   0.000000E+00  -0.375289E+02   0.881526E-07   0.284587E-03  -0.105633E-05
   124   0.349162E+04   0.105584E+01   0.000000E+00  -0.380629E+02   0.876177E-07   0.281638E-03  -0.107744E-05
   125   0.352617E+04   0.106321E+01   0.000000E+00  -0.385847E+02   0.870870E-07   0.278739E-03  -0.109829E-05
   126   0.356078E+04   0.107013E+01   0.000000E+00  -0.390937E+02   0.865602E-07   0.275888E-03  -0.111855E-05
   127   0.359541E+04   0.107661E+01   0.000000E+00  -0.395894E+02   0.860376E-07   0.273086E-03  -0.113786E-05
   128   0.363007E+04   0.108263E+01   0.000000E+00  -0.400712E+02   0.855190E-07   0.270334E-03  -0.115588E-05
   129   0.366475E+04   0.108818E+01   0.000000E+00  -0.405387E+02   0.850046E-07   0.267631E-03  -0.117227E-05
   130   0.369944E+04   0.109326E+01   0.000000E+00  -0.409912E+02   0.844941E-07   0.264977E-03  -0.118669E-05
   131   0.373412E+04   0.109786E+01   0.000000E+00  -0.414283E+02   0.839878E-07   0.262373E-03  -0.119885E-05
   132   0.376880E+04   0.110199E+01   0.000000E+00  -0.418494E+02   0.834855E-07   0.259817E-03  -0.120880E-05
   133   0.380346E+04   0.110562E+01   0.000000E+00  -0.422542E+02   0.829872E-07   0.257308E-03  -0.121662E-05
   134   0.383810E+04   0.110878E+01   0.000000E+00  -0.426421E+02   0.824929E-07   0.254844E-03  -0.122242E-05
   135   0.387271E+04   0.111143E+01   0.000000E+00  -0.430127E+02   0.820026E-07   0.252423E-03  -0.122630E-05
   136   0.390728E+04   0.111360E+01   0.000000E+00  -0.433654E+02   0.815162E-07   0.250045E-03  -0.122835E-05
   137   0.394180E+04   0.111527E+01   0.000000E+00  -0.436998E+02   0.810337E-07   0.247708E-03  -0.122867E-05
   138   0.397627E+04   0.111645E+01   0.000000E+00  -0.440155E+02   0.805550E-07   0.245410E-03  -0.122737E-05
   139   0.401067E+04   0.111713E+01   0.000000E+00  -0.443121E+02   0.800803E-07   0.243149E-03  -0.122454E-05
   140   0.404500E+04   0.111731E+01   0.000000E+00  -0.445891E+02   0.796093E-07   0.240925E-03  -0.122028E-05
   141   0.407926E+04   0.111701E+01   0.000000E+00  -0.448463E+02   0.791421E-07   0.238735E-03  -0.121469E-05
   142   0.411343E+04   0.111621E+01   0.000000E+00  -0.450829E+02   0.786787E-07   0.236579E-03  -0.120787E-05
   143   0.414750E+04   0.111493E+01   0.000000E+00  -0.452989E+02   0.782190E-07   0.234454E-03  -0.119992E-05
   144   0.418147E+04   0.111316E+01   0.000000E+00  -0.454938E+02   0.777631E-07   0.232360E-03  -0.119093E-05
   145   0.421533E+04   0.111090E+01   0.000000E+00  -0.456669E+02   0.773108E-07   0.230294E-03  -0.118101E-05
   146   0.424905E+04   0.110816E+01   0.000000E+00  -0.458183E+02   0.768622E-07   0.228255E-03  -0.117025E-05
   147   0.428263E+04   0.110496E+01   0.000000E+00  -0.459471E+02   0.764172E-07   0.226242E-03  -0.115876E-05
   148   0.431605E+04   0.110129E+01   0.000000E+00  -0.460532E+02   0.759758E-07   0.224253E-03  -0.114663E-05
   149   0.434929E+04   0.109716E+01   0.000000E+00  -0.461362E+02   0.755380E-07   0.222287E-03  -0.113395E-05
   150   0.438235E+04   0.109258E+01   0.000000E+00  -0.461956E+02   0.751037E-07   0.220342E-03  -0.112084E-05
   151   0.441520E+04   0.108756E+01   0.000000E+00  -0.462310E+02   0.746730E-07   0.218416E-03  -0.110736E-05
   152   0.444785E+04   0.108210E+01   0.000000E+00  -0.462423E+02   0.742457E-07   0.216511E-03  -0.109357E-05
   153   0.448028E+04   0.107622E+01   0.000000E+00  -0.462291E+02   0.738219E-07   0.214625E-03  -0.107948E-05
   154   0.451249E+04   0.106993E+01   0.000000E+00  -0.461912E+02   0.734016E-07   0.212758E-03  -0.106511E-05
   155   0.454448E+04   0.106323E+01   0.000000E+00  -0.461283E+02   0.729847E-07   0.210911E-03  -0.105049E-05
   156   0.457625E+04   0.105615E+01   0.000000E+00  -0.460402E+02   0.725713E-07   0.209083E-03  -0.103563E-05
   157   0.460777E+04   0.104868E+01   0.000000E+00  -0.459266E+02   0.721612E-07   0.207273E-03  -0.102056E-05
   158   0.463907E+04   0.104086E+01   0.000000E+00  -0.457873E+02   0.717544E-07   0.205483E-03  -0.100530E-05
   159   0.467011E+04   0.103268E+01   0.000000E+00  -0.456221E+02   0.713510E-07   0.203711E-03  -0.989881E-06
   160   0.470090E+04   0.102417E+01   0.000000E+00  -0.454308E+02   0.709509E-07   0.201959E-03  -0.974312E-06
   161   0.473140E+04   0.101534E+01   0.000000E+00  -0.452130E+02   0.705541E-07   0.200224E-03  -0.958621E-06
   162   0.476162E+04   0.100620E+01   0.000000E+00  -0.449688E+02   0.701606E-07   0.198509E-03  -0.942829E-06
   163   0.479154E+04   0.996795E+00   0.000000E+00  -0.446978E+02   0.697703E-07   0.196811E-03  -0.926958E-06
   164   0.482115E+04   0.987112E+00   0.000000E+00  -0.443999E+02   0.693832E-07   0.195132E-03  -0.911030E-06
   165   0.485043E+04   0.977176E+00   0.000000E+00  -0.440748E+02   0.689994E-07   0.193471E-03  -0.895067E-06
   166   0.487938E+04   0.967011E+00   0.000000E+00  -0.437225E+02   0.686187E-07   0.191829E-03  -0.879092E-06
   167   0.490799E+04   0.956637E+00   0.000000E+00  -0.433427E+02   0.682411E-07   0.190204E-03  -0.863125E-06
   168   0.493624E+04   0.946078E+00   0.000000E+00  -0.429357E+02   0.678667E-07   0.188597E-03  -0.847190E-06
   169   0.496414E+04   0.935356E+00   0.000000E+00  -0.425012E+02   0.674955E-07   0.187007E-03  -0.831308E-06
   170   0.499167E+04   0.924485E+00   0.000000E+00  -0.420391E+02   0.671273E-07   0.185436E-03  -0.815501E-06
   171   0.501882E+04   0.913495E+00   0.000000E+00  -0.415493E+02   0.667621E-07   0.183882E-03  -0.799790E-06
   172   0.504560E+04   0.902408E+00   0.000000E+00  -0.410319E+02   0.664000E-07   0.182345E-03  -0.784199E-06
   173   0.507198E+04   0.891246E+00   0.000000E+00  -0.404868E+02   0.660410E-07   0.180825E-03  -0.768749E-06
   174   0.509795E+04   0.880033E+00   0.000000E+00  -0.399140E+02   0.656849E-07   0.179323E-03  -0.753461E-06
   175   0.512352E+04   0.868803E+00   0.000000E+00  -0.393135E+02   0.653318E-07   0.177838E-03  -0.738358E-06
   176   0.514866E+04   0.857574E+00   0.000000E+00  -0.386854E+02   0.649817E-07   0.176370E-03  -0.723457E-06
   177   0.517338E+04   0.846380E+00   0.000000E+00  -0.380297E+02   0.646345E-07   0.174918E-03  -0.708751E-06
   178   0.519765E+04   0.835246E+00   0.000000E+00  -0.373463E+02   0.642901E-07   0.173483E-03  -0.694228E-06
   179   0.522149E+04   0.824193E+00   0.000000E+00  -0.366353E+02   0.639487E-07   0.172064E-03  -0.679878E-06
   180   0.524487E+04   0.813257E+00   0.000000E+00  -0.358969E+02   0.636101E-07   0.170660E-03  -0.665688E-06
   181   0.526779E+04   0.802470E+00   0.000000E+00  -0.351312E+02   0.632743E-07   0.169272E-03  -0.651647E-06
   182   0.529024E+04   0.791861E+00   0.000000E+00  -0.343384E+02   0.629413E-07   0.167899E-03  -0.637744E-06
   183   0.531223E+04   0.781451E+00   0.000000E+00  -0.335184E+02   0.626111E-07   0.166540E-03  -0.623967E-06
   184   0.533372E+04   0.771278E+00   0.000000E+00  -0.326716E+02   0.622836E-07   0.165195E-03  -0.610305E-06
   185   0.535474E+04   0.761380E+00   0.000000E+00  -0.317979E+02   0.619588E-07   0.163864E-03  -0.596745E-06
   186   0.537525E+04   0.751777E+00   0.000000E+00  -0.308977E+02   0.616367E-07   0.162547E-03  -0.583277E-06
   187   0.539527E+04   0.742502E+00   0.000000E+00  -0.299710E+02   0.613172E-07   0.161243E-03  -0.569889E-06
   188   0.541477E+04   0.733594E+00   0.000000E+00  -0.290182E+02   0.610003E-07   0.159952E-03  -0.556570E-06
   189   0.543376E+04   0.725083E+00   0.000000E+00  -0.280393E+02   0.606861E-07   0.158674E-03  -0.543307E-06
   190   0.545223E+04   0.717005E+00   0.000000E+00  -0.270348E+02   0.603744E-07   0.157408E-03  -0.530090E-06
   191   0.547016E+04   0.709391E+00   0.000000E+00  -0.260048E+02   0.600652E-07   0.156153E-03  -0.516907E-06
   192   0.548756E+04   0.702277E+00   0.000000E+00  -0.249495E+02   0.597585E-07   0.154910E-03  -0.503746E-06
   193   0.550441E+04   0.695695E+00   0.000000E+00  -0.238692E+02   0.594544E-07   0.153678E-03  -0.490597E-06
   194   0.552071E+04   0.689681E+00   0.000000E+00  -0.227643E+02   0.591526E-07   0.152458E-03  -0.477447E-06
   195   0.553646E+04   0.684270E+00   0.000000E+00  -0.216350E+02   0.588533E-07   0.151247E-03  -0.464285E-06
   196   0.555165E+04   0.679499E+00   0.000000E+00  -0.204818E+02   0.585564E-07   0.150047E-03  -0.451099E-06
   197   0.556629E+04   0.675405E+00   0.000000E+00  -0.193051E+02   0.582619E-07   0.148856E-03  -0.437878E-06
   198   0.558037E+04   0.672023E+00   0.000000E+00  -0.181051E+02   0.579697E-07   0.147675E-03  -0.424611E-06
   199   0.559388E+04   0.669389E+00   0.000000E+00  -0.168821E+02   0.576798E-07   0.146503E-03  -0.411286E-06
   200   0.560682E+04   0.667538E+00   0.000000E+00  -0.156367E+02   0.573922E-07   0.145340E-03  -0.397892E-06
   201   0.561919E+04   0.666509E+00   0.000000E+00  -0.143692E+02   0.571069E-07   0.144186E-03  -0.384419E-06
   202   0.563097E+04   0.666337E+00   0.000000E+00  -0.130800E+02   0.568238E-07   0.143039E-03  -0.370868E-06
   203   0.564214E+04   0.667058E+00   0.000000E+00  -0.117695E+02   0.565429E-07   0.141902E-03  -0.357243E-06
   204   0.565272E+04   0.668711E+00   0.000000E+00  -0.104381E+02   0.562642E-07   0.140772E-03  -0.343546E-06
   205   0.566267E+04   0.671331E+00   0.000000E+00  -0.908634E+01   0.559878E-07   0.139651E-03  -0.329780E-06
   206   0.567199E+04   0.674954E+00   0.000000E+00  -0.771451E+01   0.557134E-07   0.138537E-03  -0.315950E-06
   207   0.568068E+04   0.679618E+00   0.000000E+00  -0.632303E+01   0.554413E-07   0.137432E-03  -0.302057E-06
   208   0.568873E+04   0.685360E+00   0.000000E+00  -0.491249E+01   0.551712E-07   0.136335E-03  -0.288105E-06
   209   0.569616E+04   0.692215E+00   0.000000E+00  -0.348342E+01   0.549033E-07   0.135246E-03  -0.274097E-06
   210   0.570296E+04   0.700221E+00   0.000000E+00  -0.203638E+01   0.546375E-07   0.134165E-03  -0.260036E-06
   211   0.570914E+04   0.709414E+00   0.000000E+00  -0.571926E+00   0.543737E-07   0.133092E-03  -0.245926E-06
   212   0.571471E+04   0.719831E+00   0.000000E+00   0.909389E+00   0.541120E-07   0.132027E-03  -0.231769E-06
   213   0.571967E+04   0.731509E+00   0.000000E+00   0.240701E+01   0.538523E-07   0.130970E-03  -0.217569E-06
   214   0.572404E+04   0.744485E+00   0.000000E+00   0.392038E+01   0.535947E-07   0.129920E-03  -0.203328E-06
   215   0.572780E+04   0.758789E+00   0.000000E+00   0.544892E+01   0.533390E-07   0.128878E-03  -0.189050E-06
   216   0.573096E+04   0.774465E+00   0.000000E+00   0.699202E+01   0.530853E-07   0.127844E-03  -0.174737E-06
   217   0.573349E+04   0.791544E+00   0.000000E+00   0.854908E+01   0.528336E-07   0.126818E-03  -0.160394E-06
   218   0.573541E+04   0.810056E+00   0.000000E+00   0.101196E+02   0.525838E-07   0.125799E-03  -0.146023E-06
   219   0.573671E+04   0.830044E+00   0.000000E+00   0.117029E+02   0.523360E-07   0.124787E-03  -0.131627E-06
   220   0.573738E+04   0.851539E+00   0.000000E+00   0.132984E+02   0.520901E-07   0.123783E-03  -0.117210E-06
   221   0.573742E+04   0.874571E+00   0.000000E+00   0.149054E+02   0.518460E-07   0.122786E-03  -0.102773E-06
   222   0.573683E+04   0.899183E+00   0.000000E+00   0.165235E+02   0.516038E-07   0.121797E-03  -0.883219E-07
   223   0.573560E+04   0.925398E+00   0.000000E+00   0.181518E+02   0.513635E-07   0.120815E-03  -0.738580E-07
   224   0.573376E+04   0.953253E+00   0.000000E+00   0.197899E+02   0.511250E-07   0.119840E-03  -0.593850E-07
   225   0.573129E+04   0.982771E+00   0.000000E+00   0.214368E+02   0.508883E-07   0.118873E-03  -0.449058E-07
   226   0.572819E+04   0.101400E+01   0.000000E+00   0.230922E+02   0.506535E-07   0.117913E-03  -0.304237E-07
   227   0.572447E+04   0.104696E+01   0.000000E+00   0.247552E+02   0.504203E-07   0.116959E-03  -0.159418E-07
   228   0.572012E+04   0.108168E+01   0.000000E+00   0.264252E+02   0.501890E-07   0.116013E-03  -0.146306E-08
   229   0.571516E+04   0.111820E+01   0.000000E+00   0.281014E+02   0.499594E-07   0.115074E-03   0.130093E-07
   230   0.570957E+04   0.115654E+01   0.000000E+00   0.297834E+02   0.497315E-07   0.114142E-03   0.274721E-07
   231   0.570337E+04   0.119672E+01   0.000000E+00   0.314702E+02   0.495054E-07   0.113216E-03   0.419223E-07
