#    L    TT             EE             TE             PP             TP          
   143   0.414750E+04   0.111493E+01  -0.452989E+02   0.360024E+07   0.397324E+04
   144   0.418147E+04   0.111316E+01  -0.454938E+02   0.357960E+07   0.393802E+04
   145   0.421533E+04   0.111090E+01  -0.456669E+02   0.355912E+07   0.390329E+04
   146   0.424905E+04   0.110816E+01  -0.458183E+02   0.353880E+07   0.386900E+04
   147   0.428263E+04   0.110496E+01  -0.459471E+02   0.351864E+07   0.383515E+04
   148   0.431605E+04   0.110129E+01  -0.460532E+02   0.349863E+07   0.380169E+04
   149   0.434929E+04   0.109716E+01  -0.461362E+02   0.347878E+07   0.376862E+04
   150   0.438235E+04   0.109258E+01  -0.461956E+02   0.345909E+07   0.373589E+04
   151   0.441520E+04   0.108756E+01  -0.462310E+02   0.343956E+07   0.370349E+04
   152   0.444785E+04   0.108210E+01  -0.462423E+02   0.342017E+07   0.367142E+04
   153   0.448028E+04   0.107622E+01  -0.462291E+02   0.340094E+07   0.363967E+04
   154   0.451249E+04   0.106993E+01  -0.461912E+02   0.338186E+07   0.360824E+04
   155   0.454448E+04   0.106323E+01  -0.461283E+02   0.336294E+07   0.357714E+04
   156   0.457625E+04   0.105615E+01  -0.460402E+02   0.334416E+07   0.354635E+04
   157   0.460777E+04   0.104868E+01  -0.459266E+02   0.332553E+07   0.351587E+04
   158   0.463907E+04   0.104086E+01  -0.457873E+02   0.330705E+07   0.348571E+04
   159   0.467011E+04   0.103268E+01  -0.456221E+02   0.328872E+07   0.345587E+04
   160   0.470090E+04   0.102417E+01  -0.454308E+02   0.327053E+07   0.342633E+04
   161   0.473140E+04   0.101534E+01  -0.452130E+02   0.325249E+07   0.339711E+04
   162   0.476162E+04   0.100620E+01  -0.449688E+02   0.323460E+07   0.336819E+04
   163   0.479154E+04   0.996795E+00  -0.446978E+02   0.321685E+07   0.333958E+04
   164   0.482115E+04   0.987112E+00  -0.443999E+02   0.319924E+07   0.331127E+04
   165   0.485043E+04   0.977176E+00  -0.440748E+02   0.318177E+07   0.328327E+04
   166   0.487938E+04   0.967011E+00  -0.437225E+02   0.316445E+07   0.325557E+04
   167   0.490799E+04   0.956637E+00  -0.433427E+02   0.314726E+07   0.322817E+04
   168   0.493624E+04   0.946078E+00  -0.429357E+02   0.313022E+07   0.320106E+04
   169   0.496414E+04   0.935356E+00  -0.425012E+02   0.311331E+07   0.317425E+04
   170   0.499167E+04   0.924485E+00  -0.420391E+02   0.309654E+07   0.314774E+04
   171   0.501882E+04   0.913495E+00  -0.415493E+02   0.307991E+07   0.312152E+04
   172   0.504560E+04   0.902408E+00  -0.410319E+02   0.306341E+07   0.309559E+04
   173   0.507198E+04   0.891246E+00  -0.404868E+02   0.304705E+07   0.306995E+04
   174   0.509795E+04   0.880033E+00  -0.399140E+02   0.303082E+07   0.304459E+04
   175   0.512352E+04   0.868803E+00  -0.393135E+02   0.301472E+07   0.301953E+04
   176   0.514866E+04   0.857574E+00  -0.386854E+02   0.299876E+07   0.299474E+04
   177   0.517338E+04   0.846380E+00  -0.380297E+02   0.298293E+07   0.297024E+04
   178   0.519765E+04   0.835246E+00  -0.373463E+02   0.296723E+07   0.294601E+04
   179   0.522149E+04   0.824193E+00  -0.366353E+02   0.295165E+07   0.292204E+04
   180   0.524487E+04   0.813257E+00  -0.358969E+02   0.293620E+07   0.289834E+04
   181   0.526779E+04   0.802470E+00  -0.351312E+02   0.292088E+07   0.287489E+04
   182   0.529024E+04   0.791861E+00  -0.343384E+02   0.290569E+07   0.285170E+04
   183   0.531223E+04   0.781451E+00  -0.335184E+02   0.289061E+07   0.282874E+04
   184   0.533372E+04   0.771278E+00  -0.326716E+02   0.287566E+07   0.280603E+04
   185   0.535474E+04   0.761380E+00  -0.317979E+02   0.286084E+07   0.278355E+04
