#    L    TT             EE             BB             TE             PP             TP             EP          
    82   0.217042E+04   0.497694E+00   0.000000E+00  -0.118422E+02   0.113373E-06   0.461310E-03  -0.662126E-06
    83   0.219775E+04   0.512837E+00   0.000000E+00  -0.124188E+02   0.112696E-06   0.454930E-03  -0.722726E-06
    84   0.222532E+04   0.528070E+00   0.000000E+00  -0.130036E+02   0.112020E-06   0.448666E-03  -0.792624E-06
    85   0.225314E+04   0.543383E+00   0.000000E+00  -0.135966E+02   0.111346E-06   0.442532E-03  -0.864190E-06
    86   0.228118E+04   0.558767E+00   0.000000E+00  -0.141971E+02   0.110674E-06   0.436539E-03  -0.930975E-06
    87   0.230944E+04   0.574206E+00   0.000000E+00  -0.148047E+02   0.110004E-06   0.430686E-03  -0.991229E-06
    88   0.233787E+04   0.589690E+00   0.000000E+00  -0.154187E+02   0.109338E-06   0.424973E-03  -0.104438E-05
    89   0.236651E+04   0.605205E+00   0.000000E+00  -0.160389E+02   0.108673E-06   0.419397E-03  -0.108985E-05
    90   0.239533E+04   0.620733E+00   0.000000E+00  -0.166649E+02   0.108012E-06   0.413955E-03  -0.112707E-05
    91   0.242437E+04   0.636261E+00   0.000000E+00  -0.172961E+02   0.107354E-06   0.408647E-03  -0.115567E-05
    92   0.245361E+04   0.651775E+00   0.000000E+00  -0.179324E+02   0.106698E-06   0.403467E-03  -0.117612E-05
    93   0.248307E+04   0.667260E+00   0.000000E+00  -0.185733E+02   0.106046E-06   0.398412E-03  -0.118909E-05
    94   0.251275E+04   0.682703E+00   0.000000E+00  -0.192185E+02   0.105397E-06   0.393477E-03  -0.119526E-05
    95   0.254266E+04   0.698089E+00   0.000000E+00  -0.198675E+02   0.104751E-06   0.388657E-03  -0.119530E-05
    96   0.257280E+04   0.713404E+00   0.000000E+00  -0.205199E+02   0.104108E-06   0.383948E-03  -0.118988E-05
    97   0.260315E+04   0.728634E+00   0.000000E+00  -0.211753E+02   0.103468E-06   0.379347E-03  -0.117969E-05
    98   0.263374E+04   0.743762E+00   0.000000E+00  -0.218332E+02   0.102832E-06   0.374847E-03  -0.116538E-05
    99   0.266454E+04   0.758776E+00   0.000000E+00  -0.224931E+02   0.102199E-06   0.370446E-03  -0.114763E-05
   100   0.269556E+04   0.773663E+00   0.000000E+00  -0.231545E+02   0.101569E-06   0.366138E-03  -0.112711E-05
   101   0.272680E+04   0.788409E+00   0.000000E+00  -0.238169E+02   0.100943E-06   0.361919E-03  -0.110449E-05
   102   0.275825E+04   0.802991E+00   0.000000E+00  -0.244800E+02   0.100321E-06   0.357786E-03  -0.108044E-05
   103   0.278991E+04   0.817411E+00   0.000000E+00  -0.251430E+02   0.997020E-07   0.353733E-03  -0.105563E-05
   104   0.282178E+04   0.831638E+00   0.000000E+00  -0.258055E+02   0.990868E-07   0.349756E-03  -0.103073E-05
   105   0.285384E+04   0.845665E+00   0.000000E+00  -0.264669E+02   0.984753E-07   0.345851E-03  -0.100641E-05
   106   0.288609E+04   0.859478E+00   0.000000E+00  -0.271266E+02   0.978676E-07   0.342014E-03  -0.983331E-06
   107   0.291852E+04   0.873069E+00   0.000000E+00  -0.277842E+02   0.972637E-07   0.338240E-03  -0.962170E-06
   108   0.295112E+04   0.886416E+00   0.000000E+00  -0.284390E+02   0.966637E-07   0.334525E-03  -0.943592E-06
   109   0.298389E+04   0.899513E+00   0.000000E+00  -0.290904E+02   0.960677E-07   0.330865E-03  -0.928263E-06
   110   0.301683E+04   0.912336E+00   0.000000E+00  -0.297379E+02   0.954758E-07   0.327255E-03  -0.916852E-06
   111   0.304992E+04   0.924879E+00   0.000000E+00  -0.303811E+02   0.948879E-07   0.323692E-03  -0.909856E-06
   112   0.308316E+04   0.937135E+00   0.000000E+00  -0.310192E+02   0.943042E-07   0.320175E-03  -0.907096E-06
   113   0.311655E+04   0.949079E+00   0.000000E+00  -0.316518E+02   0.937245E-07   0.316705E-03  -0.908228E-06
   114   0.315008E+04   0.960699E+00   0.000000E+00  -0.322783E+02   0.931489E-07   0.313281E-03  -0.912903E-06
   115   0.318373E+04   0.971993E+00   0.000000E+00  -0.328980E+02   0.925774E-07   0.309904E-03  -0.920776E-06
   116   0.321751E+04   0.982946E+00   0.000000E+00  -0.335105E+02   0.920100E-07   0.306574E-03  -0.931501E-06
   117   0.325142E+04   0.993536E+00   0.000000E+00  -0.341151E+02   0.914466E-07   0.303291E-03  -0.944731E-06
   118   0.328542E+04   0.100376E+01   0.000000E+00  -0.347113E+02   0.908874E-07   0.300056E-03  -0.960122E-06
   119   0.331953E+04   0.101361E+01   0.000000E+00  -0.352987E+02   0.903322E-07   0.296867E-03  -0.977326E-06
   120   0.335374E+04   0.102307E+01   0.000000E+00  -0.358764E+02   0.897811E-07   0.293727E-03  -0.996000E-06
   121   0.338804E+04   0.103213E+01   0.000000E+00  -0.364441E+02   0.892340E-07   0.290634E-03  -0.101580E-05
   122   0.342240E+04   0.104079E+01   0.000000E+00  -0.370012E+02   0.886910E-07   0.287590E-03  -0.103637E-05
   123   0.345684E+04   0.104902E+01   0.000000E+00  -0.375472E+02   0.881521E-07   0.284593E-03  -0.105738E-05
   124   0.349134E+04   0.105683E+01   0.000000E+00  -0.380813E+02   0.876173E-07   0.281645E-03  -0.107848E-05
   125   0.352589E+04   0.106420E+01   0.000000E+00  -0.386032E+02   0.870865E-07   0.278746E-03  -0.109933E-05
   126   0.356049E+04   0.107113E+01   0.000000E+00  -0.391123E+02   0.865598E-07   0.275895E-03  -0.111957E-05
   127   0.359512E+04   0.107760E+01   0.000000E+00  -0.396081E+02   0.860371E-07   0.273093E-03  -0.113887E-05
   128   0.362977E+04   0.108362E+01   0.000000E+00  -0.400900E+02   0.855186E-07   0.270341E-03  -0.115688E-05
   129   0.366445E+04   0.108918E+01   0.000000E+00  -0.405575E+02   0.850041E-07   0.267638E-03  -0.117326E-05
   130   0.369913E+04   0.109425E+01   0.000000E+00  -0.410101E+02   0.844937E-07   0.264984E-03  -0.118766E-05
   131   0.373380E+04   0.109885E+01   0.000000E+00  -0.414473E+02   0.839873E-07   0.262380E-03  -0.119981E-05
   132   0.376848E+04   0.110298E+01   0.000000E+00  -0.418685E+02   0.834850E-07   0.259824E-03  -0.120975E-05
   133   0.380313E+04   0.110661E+01   0.000000E+00  -0.422733E+02   0.829867E-07   0.257315E-03  -0.121756E-05
   134   0.383777E+04   0.110976E+01   0.000000E+00  -0.426612E+02   0.824925E-07   0.254851E-03  -0.122334E-05
   135   0.387236E+04   0.111241E+01   0.000000E+00  -0.430318E+02   0.820021E-07   0.252430E-03  -0.122720E-05
   136   0.390693E+04   0.111458E+01   0.000000E+00  -0.433845E+02   0.815157E-07   0.250052E-03  -0.122924E-05
   137   0.394144E+04   0.111624E+01   0.000000E+00  -0.437189E+02   0.810332E-07   0.247715E-03  -0.122955E-05
   138   0.397590E+04   0.111741E+01   0.000000E+00  -0.440346E+02   0.805546E-07   0.245416E-03  -0.122824E-05
   139   0.401030E+04   0.111809E+01   0.000000E+00  -0.443311E+02   0.800798E-07   0.243156E-03  -0.122539E-05
   140   0.404463E+04   0.111827E+01   0.000000E+00  -0.446081E+02   0.796089E-07   0.240931E-03  -0.122112E-05
   141   0.407888E+04   0.111796E+01   0.000000E+00  -0.448652E+02   0.791417E-07   0.238742E-03  -0.121552E-05
   142   0.411304E+04   0.111715E+01   0.000000E+00  -0.451018E+02   0.786783E-07   0.236585E-03  -0.120868E-05
   143   0.414711E+04   0.111586E+01   0.000000E+00  -0.453177E+02   0.782186E-07   0.234460E-03  -0.120072E-05
   144   0.418107E+04   0.111408E+01   0.000000E+00  -0.455124E+02   0.777627E-07   0.232366E-03  -0.119171E-05
   145   0.421492E+04   0.111181E+01   0.000000E+00  -0.456855E+02   0.773104E-07   0.230299E-03  -0.118178E-05
   146   0.424863E+04   0.110907E+01   0.000000E+00  -0.458367E+02   0.768618E-07   0.228261E-03  -0.117100E-05
   147   0.428220E+04   0.110586E+01   0.000000E+00  -0.459655E+02   0.764168E-07   0.226247E-03  -0.115949E-05
   148   0.431561E+04   0.110218E+01   0.000000E+00  -0.460715E+02   0.759754E-07   0.224258E-03  -0.114734E-05
   149   0.434885E+04   0.109804E+01   0.000000E+00  -0.461543E+02   0.755376E-07   0.222292E-03  -0.113465E-05
   150   0.438190E+04   0.109345E+01   0.000000E+00  -0.462135E+02   0.751033E-07   0.220347E-03  -0.112152E-05
   151   0.441474E+04   0.108842E+01   0.000000E+00  -0.462488E+02   0.746726E-07   0.218422E-03  -0.110803E-05
   152   0.444738E+04   0.108294E+01   0.000000E+00  -0.462598E+02   0.742454E-07   0.216516E-03  -0.109422E-05
   153   0.447981E+04   0.107705E+01   0.000000E+00  -0.462464E+02   0.738216E-07   0.214630E-03  -0.108011E-05
   154   0.451201E+04   0.107075E+01   0.000000E+00  -0.462083E+02   0.734013E-07   0.212764E-03  -0.106572E-05
   155   0.454399E+04   0.106404E+01   0.000000E+00  -0.461452E+02   0.729844E-07   0.210916E-03  -0.105108E-05
   156   0.457576E+04   0.105694E+01   0.000000E+00  -0.460569E+02   0.725709E-07   0.209088E-03  -0.103620E-05
   157   0.460728E+04   0.104946E+01   0.000000E+00  -0.459431E+02   0.721608E-07   0.207279E-03  -0.102112E-05
   158   0.463856E+04   0.104163E+01   0.000000E+00  -0.458035E+02   0.717541E-07   0.205488E-03  -0.100584E-05
   159   0.466960E+04   0.103343E+01   0.000000E+00  -0.456380E+02   0.713507E-07   0.203717E-03  -0.990397E-06
   160   0.470038E+04   0.102491E+01   0.000000E+00  -0.454464E+02   0.709506E-07   0.201964E-03  -0.974809E-06
   161   0.473088E+04   0.101606E+01   0.000000E+00  -0.452284E+02   0.705538E-07   0.200230E-03  -0.959098E-06
   162   0.476109E+04   0.100691E+01   0.000000E+00  -0.449839E+02   0.701603E-07   0.198514E-03  -0.943286E-06
   163   0.479100E+04   0.997491E+00   0.000000E+00  -0.447126E+02   0.697700E-07   0.196817E-03  -0.927395E-06
   164   0.482060E+04   0.987793E+00   0.000000E+00  -0.444143E+02   0.693829E-07   0.195138E-03  -0.911447E-06
   165   0.484988E+04   0.977843E+00   0.000000E+00  -0.440889E+02   0.689991E-07   0.193477E-03  -0.895464E-06
   166   0.487882E+04   0.967663E+00   0.000000E+00  -0.437363E+02   0.686184E-07   0.191834E-03  -0.879469E-06
